,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final
12,partai mana sih yang getol banget menolak ruu perlindungan kekerasan seksual gemes bngt gw ,netral,"['partai', 'mana', 'sih', 'yg', 'getol', 'bgt', 'menolak', 'ruu', 'perlindungan', 'kekerasan', 'seksual', 'gemes', 'bngt', 'gw']","['partai', 'getol', 'bgt', 'menolak', 'ruu', 'perlindungan', 'kekerasan', 'seksual', 'gemes', 'bngt', 'gw']","['partai', 'getol', 'bgt', 'tolak', 'ruu', 'lindung', 'keras', 'seksual', 'gemes', 'bngt', 'gw']",partai getol bgt tolak ruu lindung keras seksual gemes bngt gw
13,dengan adanya permendikbud ini bisa melenyapkan predator di kampus yes dan bisa melegalkan sex bebas mba ya karena peraturnnya hanya untuk yg di perkosa tapi kalau suka sama suka ga masalah hadeeh mba nya berkerudung tapi gini amat lebih jelasnya sudah di bahas di hersubeno arif ,netral,"['dgn', 'adanya', 'permendikbud', 'ini', 'bsa', 'melenyapkan', 'predator', 'di', 'kampus', 'yes', 'dn', 'bsa', 'melegalkan', 'sex', 'bebas', 'mba', 'ya', 'krn', 'peraturnnya', 'cuma', 'untk', 'yg', 'di', 'perkosa', 'tapi', 'klw', 'suka', 'sama', 'suka', 'ga', 'masalh', 'hadeeh', 'mba', 'nya', 'berkerudung', 'tapi', 'gini', 'amat', 'lbh', 'jelasnya', 'sdh', 'di', 'bahas', 'di', 'hersubeno', 'arif']","['permendikbud', 'bsa', 'melenyapkan', 'predator', 'kampus', 'yes', 'dn', 'bsa', 'melegalkan', 'sex', 'bebas', 'mba', 'peraturnnya', 'untk', 'perkosa', 'klw', 'suka', 'suka', 'ga', 'masalh', 'hadeeh', 'mba', 'berkerudung', 'gini', 'lbh', 'bahas', 'hersubeno', 'arif']","['permendikbud', 'bsa', 'lenyap', 'predator', 'kampus', 'yes', 'dn', 'bsa', 'legal', 'sex', 'bebas', 'mba', 'peraturnnya', 'untk', 'perkosa', 'klw', 'suka', 'suka', 'ga', 'masalh', 'hadeeh', 'mba', 'kerudung', 'gin', 'lbh', 'bahas', 'hersubeno', 'arif']",permendikbud bsa lenyap predator kampus yes dn bsa legal sex bebas mba peraturnnya untk perkosa klw suka suka ga masalh hadeeh mba kerudung gin lbh bahas hersubeno arif
14,karena pemerkosa orang yang berkuasa,negatif,"['krn', 'pemerkosa', 'org', 'yg', 'berkuasa']","['pemerkosa', 'org', 'berkuasa']","['perkosa', 'org', 'kuasa']",perkosa org kuasa
15,selalu membawa nama korban tapi gak ada jawaban dr subtansi kritikan dr permendikbud tersebut ,netral,"['sllu', 'membawa', 'nama', 'korban', 'tapi', 'gak', 'ada', 'jawaban', 'dr', 'subtansi', 'kritikan', 'dr', 'permendikbud', 'tsb']","['sllu', 'membawa', 'nama', 'korban', 'gak', 'dr', 'subtansi', 'kritikan', 'dr', 'permendikbud', 'tsb']","['sllu', 'bawa', 'nama', 'korban', 'gak', 'dr', 'subtansi', 'kritik', 'dr', 'permendikbud', 'tsb']",sllu bawa nama korban gak dr subtansi kritik dr permendikbud tsb
16,dosen belagu tai yang kebelaguannya ga nolong kecakapan mahasiswanya di lapangan kerja ,negatif,"['dosen', 'belagu', 'tai', 'yg', 'kebelaguannya', 'ga', 'nolong', 'kecakapan', 'mahasiswanya', 'di', 'lapangan', 'kerja']","['dosen', 'belagu', 'tai', 'kebelaguannya', 'ga', 'nolong', 'kecakapan', 'mahasiswanya', 'lapangan', 'kerja']","['dosen', 'belagu', 'tai', 'kebelaguannya', 'ga', 'nolong', 'cakap', 'mahasiswa', 'lapang', 'kerja']",dosen belagu tai kebelaguannya ga nolong cakap mahasiswa lapang kerja
17,wajah dan senyum ny saat cantik kakak ini,netral,"['wajah', 'dn', 'senyum', 'ny', 'saat', 'cantik', 'kakak', 'ini']","['wajah', 'dn', 'senyum', 'cantik', 'kakak']","['wajah', 'dn', 'senyum', 'cantik', 'kakak']",wajah dn senyum cantik kakak
18,goto ganti jadi goped aja,negatif,"['goto', 'ganti', 'jadi', 'goped', 'aja']","['goto', 'ganti', 'goped']","['goto', 'ganti', 'goped']",goto ganti goped
19,yg menolak ruu pks itu mungkin predatornya ,netral,"['yg', 'menolak', 'ruu', 'pks', 'itu', 'mungkin', 'predatornya']","['menolak', 'ruu', 'pks', 'predatornya']","['tolak', 'ruu', 'pks', 'predator']",tolak ruu pks predator
20,saya muslim yg konservatif sangat setuju dengan peraturan ini dengan syarat dihapus frase tanpa persetujuan korban contoh pasal  membuka pakaian korban tanpa persetujuan korban mahasiswa mahasiswi setuju iyahh ndak apa silahkan dibolehkan legal bahaya ini dosen dan mahasiswi mahasiswa dan mahasiswa bersetubuh legal tidak ada korban sama setuju boleh berzinah ,positif,"['aq', 'muslim', 'yg', 'konservatif', 'amat', 'setuju', 'dgn', 'peraturan', 'ini', 'dgn', 'syarat', 'dihapus', 'frase', 'tanpa', 'persetujuan', 'korban', 'contoh', 'pasal', 'membuka', 'pakaian', 'korban', 'tanpa', 'persetujuan', 'korban', 'mahasiswa', 'mahasiswi', 'setuju', 'iyahh', 'ndak', 'aoa', 'silahkan', 'dibolehkan', 'legal', 'bahaya', 'ini', 'dosen', 'dn', 'mahasiswi', 'mahasiswa', 'dn', 'mahasiswa', 'bersetubuh', 'legal', 'ndak', 'ada', 'korban', 'sama', 'setuju', 'boleh', 'berzinah']","['aq', 'muslim', 'konservatif', 'setuju', 'peraturan', 'syarat', 'dihapus', 'frase', 'persetujuan', 'korban', 'contoh', 'pasal', 'membuka', 'pakaian', 'korban', 'persetujuan', 'korban', 'mahasiswa', 'mahasiswi', 'setuju', 'iyahh', 'ndak', 'aoa', 'silahkan', 'dibolehkan', 'legal', 'bahaya', 'dosen', 'dn', 'mahasiswi', 'mahasiswa', 'dn', 'mahasiswa', 'bersetubuh', 'legal', 'ndak', 'korban', 'setuju', 'berzinah']","['aq', 'muslim', 'konservatif', 'tuju', 'atur', 'syarat', 'hapus', 'frase', 'tuju', 'korban', 'contoh', 'pasal', 'buka', 'pakai', 'korban', 'tuju', 'korban', 'mahasiswa', 'mahasiswi', 'tuju', 'iyahh', 'ndak', 'aoa', 'silah', 'boleh', 'legal', 'bahaya', 'dosen', 'dn', 'mahasiswi', 'mahasiswa', 'dn', 'mahasiswa', 'tubuh', 'legal', 'ndak', 'korban', 'tuju', 'berzinah']",aq muslim konservatif tuju atur syarat hapus frase tuju korban contoh pasal buka pakai korban tuju korban mahasiswa mahasiswi tuju iyahh ndak aoa silah boleh legal bahaya dosen dn mahasiswi mahasiswa dn mahasiswa tubuh legal ndak korban tuju berzinah
21,harusnya narasi yang di tampilkan tidak ambigu tanpa persetujuan korban jika korban setuju apakah arti nya boleh saja jika ini dilegalkan akan banyak bebas di indonesia dampak yang sangat buruk dr hal ini pun jelas infeksi menular merajelala hiv anak yang harusnya belajar malah merintih untuk melahirkan aborsi kemudian akan bertambah banyak apakah kita ingin keluarga kita terjerat akan maksud suka sama suka dan bebas melakukan hal yang jelas merusak diri mereka sendiri tentunya hal yang di jadikan pedoman menjadi manusia yang beradab dan beragama menjadi hal yang minoritas,negatif,"['harusnya', 'narasi', 'yg', 'di', 'tampilkan', 'ndak', 'ambigu', 'tanpa', 'persetujuan', 'korban', 'jika', 'korban', 'setuju', 'apakah', 'arti', 'nya', 'boleh', 'saja', 'jika', 'ini', 'dilegalkan', 'akan', 'byk', 'bebas', 'di', 'indonesia', 'dampak', 'yg', 'amat', 'burukk', 'dr', 'hal', 'ini', 'pun', 'jelas', 'infeksi', 'menular', 'merajelala', 'hiv', 'anak', 'yg', 'harusnya', 'belajar', 'mlh', 'merintih', 'untk', 'melahirkan', 'aborsi', 'kemudian', 'akan', 'bertambah', 'byk', 'apakah', 'kita', 'ingin', 'keluarga', 'kita', 'terjerat', 'akan', 'maksud', 'suka', 'sama', 'suka', 'dn', 'bebas', 'melakukan', 'hal', 'yg', 'jelas', 'merusak', 'diri', 'mereka', 'sendiri', 'tentunya', 'hal', 'yg', 'di', 'jadikan', 'pedoman', 'mnjdi', 'manusia', 'yg', 'beradab', 'dn', 'beragama', 'mnjdi', 'hal', 'yg', 'minoritas']","['narasi', 'tampilkan', 'ndak', 'ambigu', 'persetujuan', 'korban', 'korban', 'setuju', 'arti', 'dilegalkan', 'byk', 'bebas', 'indonesia', 'dampak', 'burukk', 'dr', 'infeksi', 'menular', 'merajelala', 'hiv', 'anak', 'belajar', 'mlh', 'merintih', 'untk', 'melahirkan', 'aborsi', 'bertambah', 'byk', 'keluarga', 'terjerat', 'maksud', 'suka', 'suka', 'dn', 'bebas', 'merusak', 'jadikan', 'pedoman', 'mnjdi', 'manusia', 'beradab', 'dn', 'beragama', 'mnjdi', 'minoritas']","['narasi', 'tampil', 'ndak', 'ambigu', 'tuju', 'korban', 'korban', 'tuju', 'arti', 'legal', 'byk', 'bebas', 'indonesia', 'dampak', 'burukk', 'dr', 'infeksi', 'tular', 'merajelala', 'hiv', 'anak', 'ajar', 'mlh', 'rintih', 'untk', 'lahir', 'aborsi', 'tambah', 'byk', 'keluarga', 'jerat', 'maksud', 'suka', 'suka', 'dn', 'bebas', 'rusak', 'jadi', 'pedoman', 'mnjdi', 'manusia', 'adab', 'dn', 'agama', 'mnjdi', 'minoritas']",narasi tampil ndak ambigu tuju korban korban tuju arti legal byk bebas indonesia dampak burukk dr infeksi tular merajelala hiv anak ajar mlh rintih untk lahir aborsi tambah byk keluarga jerat maksud suka suka dn bebas rusak jadi pedoman mnjdi manusia adab dn agama mnjdi minoritas
22,datang lagi nonton anisya azni ,netral,"['datang', 'gy', 'nonton', 'anisya', 'azni']","['nonton', 'anisya', 'azni']","['nonton', 'anisya', 'azni']",nonton anisya azni
23,muaantaab skrng maen di kampus aamaan bro sis slama lw sama nga ngas ga perlu ke hotel gas di kampus bwahahaahaha,negatif,"['muaantaab', 'skrng', 'maen', 'di', 'kampus', 'aamaan', 'bro', 'sis', 'slama', 'lw', 'sama', 'nga', 'ngas', 'ga', 'perlu', 'ke', 'hotel', 'gas', 'di', 'kampus', 'bwahahaahaha']","['muaantaab', 'skrng', 'maen', 'kampus', 'aamaan', 'sis', 'slama', 'lw', 'nga', 'ngas', 'ga', 'hotel', 'gas', 'kampus', 'bwahahaahaha']","['muaantaab', 'skrng', 'maen', 'kampus', 'aamaan', 'sis', 'slama', 'lw', 'nga', 'ngas', 'ga', 'hotel', 'gas', 'kampus', 'bwahahaahaha']",muaantaab skrng maen kampus aamaan sis slama lw nga ngas ga hotel gas kampus bwahahaahaha
24,saya sudah baca dan dukung permen kekerasan seksual,positif,"['aq', 'sdh', 'baca', 'dn', 'dukung', 'permen', 'kekerasan', 'seksual']","['aq', 'baca', 'dn', 'dukung', 'permen', 'kekerasan', 'seksual']","['aq', 'baca', 'dn', 'dukung', 'permen', 'keras', 'seksual']",aq baca dn dukung permen keras seksual
25,klo udh ngebet tahan klo mampu ya nikah klo mampu ya tahan dulu nunggu halal,netral,"['klo', 'udh', 'ngebet', 'tahan', 'klo', 'mampu', 'ya', 'nikah', 'klo', 'mampu', 'ya', 'tahan', 'dulu', 'nunggu', 'halal']","['udh', 'ngebet', 'tahan', 'nikah', 'tahan', 'nunggu', 'halal']","['udh', 'ngebet', 'tahan', 'nikah', 'tahan', 'nunggu', 'halal']",udh ngebet tahan nikah tahan nunggu halal
26,kacau membaca permendikbudnya diakhir setiap ayatnya muncul kata kata tanpa persetujuan korban namanya korban untuk apa dimunculkan lagi frasa tanpa persetujuan korban liat pola pola lama yg terjadi sebutan mau sama mau bisa dipelintir jd alat membebaskan pelaku kekerasan seksual,negatif,"['kacau', 'membaca', 'permendikbudnya', 'diakhir', 'setiap', 'ayatnya', 'muncul', 'kata', 'kata', 'tanpa', 'persetujuan', 'korban', 'namanya', 'korban', 'untk', 'aoa', 'dimunculkan', 'gy', 'frase', 'tanpa', 'persetujuan', 'korban', 'liat', 'pola', 'pola', 'lama', 'yg', 'terjadi', 'sebutan', 'mau', 'sama', 'mau', 'bsa', 'dipelintir', 'jd', 'alat', 'membebaskan', 'pelaku', 'kekerasan', 'seksual']","['kacau', 'membaca', 'permendikbudnya', 'diakhir', 'ayatnya', 'muncul', 'persetujuan', 'korban', 'namanya', 'korban', 'untk', 'aoa', 'dimunculkan', 'frase', 'persetujuan', 'korban', 'liat', 'pola', 'pola', 'sebutan', 'bsa', 'dipelintir', 'jd', 'alat', 'membebaskan', 'pelaku', 'kekerasan', 'seksual']","['kacau', 'baca', 'permendikbudnya', 'akhir', 'ayat', 'muncul', 'tuju', 'korban', 'nama', 'korban', 'untk', 'aoa', 'muncul', 'frase', 'tuju', 'korban', 'liat', 'pola', 'pola', 'sebut', 'bsa', 'pelintir', 'jd', 'alat', 'bebas', 'laku', 'keras', 'seksual']",kacau baca permendikbudnya akhir ayat muncul tuju korban nama korban untk aoa muncul frase tuju korban liat pola pola sebut bsa pelintir jd alat bebas laku keras seksual
27,  bingung sendiri ketika tak paham syariat risikoberikhtilath,negatif,"['bingung', 'sendiri', 'ketika', 'tak', 'faham', 'syariat', 'risikoberikhtilath']","['bingung', 'faham', 'syariat', 'risikoberikhtilath']","['bingung', 'faham', 'syariat', 'risikoberikhtilath']",bingung faham syariat risikoberikhtilath
28,belajar dari uu ite dulu saja karena pasal karet mungkin bisa menyebabkan korban jadi tersangka,negatif,"['belajar', 'dari', 'uu', 'ite', 'dulu', 'saja', 'krn', 'pasal', 'karet', 'mungkin', 'bsa', 'menyebabkan', 'korban', 'jadi', 'tersangka']","['belajar', 'uu', 'ite', 'pasal', 'karet', 'bsa', 'menyebabkan', 'korban', 'tersangka']","['ajar', 'uu', 'ite', 'pasal', 'karet', 'bsa', 'sebab', 'korban', 'sangka']",ajar uu ite pasal karet bsa sebab korban sangka
29,makrim tu mentri otak mesum setuju perzinaan ntah dengan siapa dia belajar itu ,negatif,"['makrim', 'tu', 'mentri', 'otak', 'mesum', 'setuju', 'perzinaan', 'ntah', 'dgn', 'siapa', 'dia', 'belajar', 'itu']","['makrim', 'mentri', 'otak', 'mesum', 'setuju', 'perzinaan', 'ntah', 'belajar']","['makrim', 'tri', 'otak', 'mesum', 'tuju', 'zina', 'ntah', 'ajar']",makrim tri otak mesum tuju zina ntah ajar
30,predator tentu tak setuju ada payung hukum yang melindungi pelecehan dan kekerasan seksual itu berarti menutup kesempatan tuk memangsa ,netral,"['predator', 'tentu', 'tak', 'setuju', 'ada', 'payung', 'hukum', 'yg', 'melindungi', 'pelecehan', 'dn', 'kekerasan', 'seksual', 'itu', 'berarti', 'menutup', 'kesempatan', 'tuk', 'memangsa']","['predator', 'setuju', 'payung', 'hukum', 'melindungi', 'pelecehan', 'dn', 'kekerasan', 'seksual', 'menutup', 'kesempatan', 'tuk', 'memangsa']","['predator', 'tuju', 'payung', 'hukum', 'lindung', 'leceh', 'dn', 'keras', 'seksual', 'tutup', 'sempat', 'tuk', 'mangsa']",predator tuju payung hukum lindung leceh dn keras seksual tutup sempat tuk mangsa
31,yg keyakinan sono pasti setuju,positif,"['yg', 'keyakinan', 'sono', 'pasti', 'setuju']","['keyakinan', 'sono', 'setuju']","['yakin', 'sono', 'tuju']",yakin sono tuju
32,asyiik zina asalkan suka sama suka di legalkan bkn suatu asusila bo ayam kampus legal jg khan suka sama suka topp markotop si nadim mankrak rim ,negatif,"['asyiik', 'zinah', 'asalkan', 'suka', 'sama', 'suka', 'di', 'legalkan', 'bkn', 'suatu', 'a susila', 'bo', 'ayam', 'kampus', 'legal', 'jg', 'khan', 'suka', 'sama', 'suka', 'topp', 'markotop', 'si', 'nadim', 'mankrak', 'rim']","['asyiik', 'zinah', 'suka', 'suka', 'legalkan', 'bkn', 'a susila', 'bo', 'ayam', 'kampus', 'legal', 'jg', 'khan', 'suka', 'suka', 'topp', 'markotop', 'nadim', 'mankrak', 'rim']","['asyiik', 'zinah', 'suka', 'suka', 'legal', 'bkn', 'a susila', 'bo', 'ayam', 'kampus', 'legal', 'jg', 'khan', 'suka', 'suka', 'topp', 'markotop', 'nadim', 'mankrak', 'rim']",asyiik zinah suka suka legal bkn a susila bo ayam kampus legal jg khan suka suka topp markotop nadim mankrak rim
33,makin ancur negara ini kalo sex bebas di legalkan ,negatif,"['makin', 'ancur', 'negara', 'ini', 'kalo', 'sex', 'bebas', 'di', 'legalkan']","['ancur', 'negara', 'sex', 'bebas', 'legalkan']","['ancur', 'negara', 'sex', 'bebas', 'legal']",ancur negara sex bebas legal
34,ingat tiang negara itu wanita wanita nya ancur ahklaq nya siap kehancuran negara ini,netral,"['inget', 'tiang', 'negara', 'itu', 'wanita', 'wanita', 'nya', 'ancur', 'ahklaq', 'nya', 'siap', 'kehancuran', 'negara', 'ini']","['inget', 'tiang', 'negara', 'wanita', 'wanita', 'ancur', 'ahklaq', 'kehancuran', 'negara']","['inget', 'tiang', 'negara', 'wanita', 'wanita', 'ancur', 'ahklaq', 'hancur', 'negara']",inget tiang negara wanita wanita ancur ahklaq hancur negara
35,dpr dewan perwakilan rezim bukan perwakilan rakyat,negatif,"['dpr', 'dewan', 'perwakilan', 'rejim', 'bukan', 'perwakilan', 'rakyat']","['dpr', 'dewan', 'perwakilan', 'rejim', 'perwakilan', 'rakyat']","['dpr', 'dewan', 'wakil', 'rejim', 'wakil', 'rakyat']",dpr dewan wakil rejim wakil rakyat
36,pasal kalau korban menyetujui artinya dosen bisa memaksa dengan ancaman nilai apa yg tidak mungkin didunia ini kok terkesan bodoh dlm melihat kemungkinan yg terjadi sedang fakta banyak kejadiannya pada pasal itu bisa dijadikan pembelaan oleh dosen yg bejad mentalnya ,negatif,"['pasal', 'klw', 'korban', 'menyetujui', 'artinya', 'dosen', 'bsa', 'memaksa', 'dgn', 'ancaman', 'nilai', 'aoa', 'yg', 'ndak', 'mungkin', 'didunia', 'ini', 'kok', 'terkesan', 'bodoh', 'dlm', 'melihat', 'kemungkinan', 'yg', 'terjadi', 'sedang', 'fakta', 'byk', 'kejadiannya', 'pada', 'pasal', 'itu', 'bsa', 'dijadikan', 'pembelaan', 'oleh', 'dosen', 'yg', 'bejad', 'mentalnya']","['pasal', 'klw', 'korban', 'menyetujui', 'dosen', 'bsa', 'memaksa', 'ancaman', 'nilai', 'aoa', 'ndak', 'didunia', 'terkesan', 'bodoh', 'dlm', 'fakta', 'byk', 'kejadiannya', 'pasal', 'bsa', 'dijadikan', 'pembelaan', 'dosen', 'bejad', 'mentalnya']","['pasal', 'klw', 'korban', 'tuju', 'dosen', 'bsa', 'paksa', 'ancam', 'nilai', 'aoa', 'ndak', 'dunia', 'kes', 'bodoh', 'dlm', 'fakta', 'byk', 'jadi', 'pasal', 'bsa', 'jadi', 'bela', 'dosen', 'bejad', 'mental']",pasal klw korban tuju dosen bsa paksa ancam nilai aoa ndak dunia kes bodoh dlm fakta byk jadi pasal bsa jadi bela dosen bejad mental
37,apa lagi ni ,netral,"['aoa', 'gy', 'ni']",['aoa'],['aoa'],aoa
38,wkwkwkwk asalkan suka sama suka di bolehkan yang hobi berzinaa berteriak horee kegirangan good joob pak nadiem makariem ,negatif,"['wkwkwkwk', 'asalkan', 'suka', 'sama', 'suka', 'di', 'bolehkan', 'yg', 'hobi', 'berzinaa', 'berteriak', 'horee', 'kegirangan', 'good', 'joob', 'pak', 'nadiem', 'makariem']","['wkwkwkwk', 'suka', 'suka', 'bolehkan', 'hobi', 'berzinaa', 'berteriak', 'horee', 'kegirangan', 'good', 'joob', 'nadiem', 'makariem']","['wkwkwkwk', 'suka', 'suka', 'boleh', 'hobi', 'berzinaa', 'teriak', 'horee', 'girang', 'good', 'joob', 'nadiem', 'makariem']",wkwkwkwk suka suka boleh hobi berzinaa teriak horee girang good joob nadiem makariem
39,bak efi ni pikiranx gak nyampek kayak gak layak bicarax dan penampilanx,negatif,"['bak', 'efi', 'ni', 'pikiranx', 'gak', 'nyampek', 'kayak', 'gak', 'layak', 'bicarax', 'dn', 'penampilanx']","['bak', 'efi', 'pikiranx', 'gak', 'nyampek', 'kayak', 'gak', 'layak', 'bicarax', 'dn', 'penampilanx']","['bak', 'efi', 'pikiranx', 'gak', 'nyampek', 'kayak', 'gak', 'layak', 'bicarax', 'dn', 'penampilanx']",bak efi pikiranx gak nyampek kayak gak layak bicarax dn penampilanx
40,kalo kadrun chat mesum boleh kagak bhahaha ,negatif,"['kalo', 'kadrun', 'chat', 'mesum', 'boleh', 'kagak', 'bhahaha']","['kadrun', 'chat', 'mesum', 'kagak', 'bhahaha']","['kadrun', 'chat', 'mesum', 'kagak', 'bhahaha']",kadrun chat mesum kagak bhahaha
41,bangsa ini mulai kehancuran drp zholim ,negatif,"['bangsa', 'ini', 'mulai', 'kehancuran', 'drp', 'zholim']","['bangsa', 'kehancuran', 'drp', 'zholim']","['bangsa', 'hancur', 'drp', 'zholim']",bangsa hancur drp zholim
42,seblm ada permen ada gulali ,netral,"['seblm', 'ada', 'permen', 'ada', 'gulali']","['seblm', 'permen', 'gulali']","['seblm', 'permen', 'gulali']",seblm permen gulali
