,Komentar,Label
26,muhamad thohir contoh kuhpnya melakukan persetubuhan suami istrinya dipidana perzinan pidana penjara denda kategori i permendikbud l menyentuh mengusap meraba memegang memeluk mencium mengosokan bagian tubuhnya tubuh korban persetujuan korban m membuka pakaian korban persetujuan korban kuhp dinyatakan gamblang keambiguan multitafsir seks bebas dilarang permendikbud didapati melakukan seksual persetujuan korban mencium mengesekan kemaluan sah sah mengimplementasikan permendikbud bentrok kuhp disalahkan kuhp nya permendikbudnya ambigu direvisi,netral
27,dmitri anak hukum tertawa melihat argumenmu biar kutip salahsatu pasal kontroversial pasal ayat kekerasan seksual ayat meliputi l menyentuh mengusap meraba memegang memeluk mencium mengosokan bagian tubuhnya tubuh korban persetujuan korban kesimpulan disini gamblang permendikbud mengelompokan tindakan tindakan persetujuan korban tindakan persetujuan korban tindakan persetujuan korban maka kekerasan seksual tindakan persetujuan korban maka adakah kekerasan seksual permendikbud samasekali mengatur tindakan persetujuan korban melegalkan meng ilegalkan alias iya diatur samasekali anak hukum tertawa melihat argumenmu biar kutip salahsatu pasal kontroversial pasal ayat kekerasan seksual ayat meliputi l menyentuh mengusap meraba memegang memeluk mencium mengosokan bagian tubuhnya tubuh korban persetujuan korban kesimpulan disini gamblang permendikbud mengelompokan tindakan tindakan persetujuan korban tindakan persetujuan korban tindakan persetujuan korban maka kekerasan seksual tindakan persetujuan korban maka adakah kekerasan seksual permendikbud samasekali mengatur konsekuensi tindakan persetujuan korban melegalkan mengilegalkan alias diatur samasekali argumentum a contrario berpikir tindakan persetujuan korban diperbolehkan dalam pemendikbud maka kesimpulan ga dasar nya,positif
28,dewanga putra oke frasa persetujuan korban frasa paham peraturanya kan menimbulkan polemik multitafsir kontradiksi kuhp asusila lainya bentrok namanya korban setuju dilecehkan literatur bahasa indonesia korban namanya frasa persetujuan korban dampaknya oknum memanfatkan frasa alasan korban kbi binatang menderita mati akibat kejadian perbuatan jahat,negatif
29,adakah korban setuju,netral
30,deh mestinya menrisex bikin aturan menimbulkan kegaduhan mknya makul moral agama dikasih agama kerohanian dihapus,netral
31,kuad in ok,positif
32,kuad in plis deh agama sekolah kampus pelecehan seksual,negatif
33,gabriela indah charista yes very very very true,positif
34,setuju bang baca peraturanya bacod permendikbud dijelasin persetujuan korban ayat huruf b huruf f huruf g huruf h huruf l huruf m diangap sah dalam korban b mengalami situasi pelaku mengancam memaksa menyalahgunakan kedudukanya,positif
35,persetujuan berlaku pelaku mengancam,negatif
36,baca iya pahami konsep consent ga setuju ga setuju mulut baca bicara,positif
37,ibu dewan permenpun jk moralnya bejat buk jk dimulai keluarga menanamkan moral agama kurasa pengendali agama apapun melarang perzinan jk perkosan tu mk pelakunya lapor kan polisi ibuk dewan jk alasan suka suka,positif
38,visi misi presiden menteri menjabarkan dlm kebijakan revolusi mentalnya jokowi,netral
39,persetujuan korban diganti dihapus,negatif
40,kesempatan goreng gosong biar jokowi jatuh,netral
41,segalasesuatu diserah ahlinya tungulah kehancuranya,negatif
42,host berpekulasi pergantian pembicara,netral
43,menyentuh haram ikutlah hukum islam alah swt atur aturan hdp,positif
44,logika rakyat indonesia dilarang bawa senjata tajam bawa senjata api,netral
45,enak banget suka suka ga main kampus,negatif
46,pks engkau harapan rakyat indonesia,netral
47,suka suka wilayah private perkara moral individu pendidikan mora,positif
48,menerapkan aturan zinah perkosan entar aturan terapkan olah seizin perempuanya ingat negara pancasila sila ketuhanan maha esa perempuanya setuju ga setuju sah pasangan iya mestinya dilarang menteri agamanya ngedukung negara negara pancasila sila mna diterapkan,netral
49,peraturan pelaksana aturan tat aturan tat syariat,netral
50,haruskah tungu korban simak penyelesaianya pengadilan benar,positif
51,polemik menimbulkan kegaduhan keonaran,negatif
52,pks cman bikin gaduh mengalihkan isu godbener jekartah angota par tainya bermasalah formula e diusut kpk,negatif
53,sanak keluarga pks korban kekerasan seksual mendukung pelaku menuntut pelaku,positif
54,hahaha pks takut angotanya digaruk permen dalih,netral
55,lanjutkan menteri permendikbudristek robah iya tungu,positif
56,trgantung anaknya ortunya penring tua mndidik anak ahklak utama tr bukti kjadian tua ketat anak trjerumus orunya anak selamat tr hindar pr gaulan bas anak cewek alhamdulilah tamat kuliah bidanan duanya trlepas prgaulan bebas intinya nasip rezeki anak perbuatan tua mnyikapi kasih makan jlan halal koropsi so oasti dampak anak salahkan anak renungi bagus tua ahklak cari jlanya rezeki,netral
57,,positif
58,miris banget gasi,negatif
59,hukum logika tsb benar loh undang undang mengatur senjata tajam mengatur senjata api maka kesimpulanya senjata api diperbolehkan argumentum a contrario,positif
60,dewanga putra mengatur mengadvokasi melegalkan hukuman luas mengatur intinya terkait legalitas perzinahan konsensual kampus terbit permendikbud dilegalisasi ilegalisasi,positif
61,muhamad hashirama mengatur melegalkan kan ku coba buka gogle baca asas legalitas dalam hukum peraturan melarangnya perbuatan diangap legal,netral
62,suka suka perbuatan jinah perundangan aturanya klu suka suka kekerasan,negatif
63,kuhp melakukan persetubuhan suami istrinya dipidana perzinan pidana penjara denda kategori i,netral
64,permendikbud banyaknya pelaporan kasus darurat bikinlah perendikbud badan hukum kekerasan seksual slama realita kejadian korban slalu rugika dalam kasus melapor perlindungan pelecehan,positif
65,istrimu anakmu setuju gauli kekerasan sexual,netral
66,ridwan basuki perselingkuhan dikenakan pasal kuhp pemerkosan dikenakan pasal kuhp prostitusi dikenakan pasal kuhp diatur dalam permendikbud dikti pasal memang kejahatan ketentuan hukum nya memang menuntut dimuat dalam pasal kekerasan seksual verbal kekerasan seksual non penetrasi pengintip body shaming tindak grepe grepe permen hadir dalam kasus penyebaran photo video pribadi izin kerap menjadikan korban terpidana mendengar pola pikir politikus pks golongan mesum,netral
67,ridwan basuki dalam pasal kuhp korban pelaku kekerasan seksual dipidana seksual didasari suka suka permendikbud korban terkena sanksi hukum pelaku,netral
68,breakpoint tv butuh narasimu lebar butuhkan hapuskan persetujuan korban titik permendikbud ok susahnya menghapus,negatif
69,ridwan basuki setuju seks bebas dilarang pemerkosan diperbolehkan kan nya,netral
70,ridwan basuki dihapus perbedan pasal kuhp aturan,negatif
71,breakpoint tv menrisex angaran dikeluarkan alasan hasil penelitian,positif
72,m indra menrisex bikin payung hukum deh gak percaya hukum pemerkosa hukuman dikebiri tu makul moral agama dikampus dihilangkan jk tujuan tuk menghindari pemerkosan,positif
73,pks pelacur suka suka hukum bedakan suka pelacuran hukuman nya neraka paksa salah korban rugikan suka suka untungkan,netral
74,undang undang poligami mungkin pks setuju duluan,positif
75,tujuanya mencegah kekerasan seksual digoreng melegalkan perzinan otaknya pks dibersihkan usia tumpul iya otaknya politisi pks dosen penjahat kelamin dikebiri dirajam dunia pendidikan tingi direndahkan suaramu rektor berlagak dungu memang dungu menempel nempelkan anumu nadim ngurusin begituan pikirkan kebijakan mutu perguruan tingi urusan beginian kasihkan pks pemegang pintu surga,positif
76,tujuan permendikbud bagus poin pasal ayat kontro versi menimbulkan multi tapsir memang direfisi direfisi,netral
77,merinding dgr sek perbolehkan anak gadis semoga jauhkan perbuatan g keji dn seboga hati nya g putih alah anak perkosa pacar hamil malu malu bertagung jawap cicipi eak nya pacar bendigan putusin,netral
78,suka suka dipertanyakan terpaksa diangap suka sngt dikhawatirkan,negatif
79,mungkin maksud rancangan pasal memperkosa istri ramai buka zina logika salah,netral
80,intinya klu mui melarang mk permen hpus,negatif
81,pernyatan seksual non konsensual maka ubah seksual konsensual maka pernyatan invalid membuktikanya tabel kebenaran katakan seksual konsensual p q maka p q p q baca seksual non konsensual maka seksual konsensual mari gunakan tabel kebenaran p q p q p q t t f f t t f f t t f t t f f f f t t t catatan t proposisi benar f proposisi salah tabel kebenaran lihat baris tabel kebenaran p q p nya benar baris sayang baris q nya salah pernyatan nya benar konklusi diambil salah disimpulkan pernyatan seksual non konsensual maka seksual konsensual pernyatan invalid,netral
82,partai kekerasan seksual,netral
83,pks menolak aturan dibuat benar lanjutkan,positif
84,doa rakyat indonesia semoga terlibat dalam aturan setan mengalami nya anak istri nya selingkuh dihamili dasar aturan pemerintah legalkan iya alah kan pemerintahan jokowi berakhir kehinan amin,netral
85,main tafsir,netral
86,kesan publik menimbulkan polemik menimbulkan prasangka tuk pengalihan isu sdg ramai,netral
87,hancur moralnya zina dilegalkan,negatif
88,abaikan pks,netral
89,asalamualaikum maf permendikbudristek dibuat ditandatangani mendikbudristek frasa persetujuan korban dalam pasal maf seandainya mahasiswa mencium mahasiswi tertutup kampus mahasiswi setuju perbuatan ketahuan lainya perbuatan pelangaran ditindak lanjuti permendikbudristek,netral
90,muantab skrng main kampus aman saudara laki-laki sis slama pade nga ngas gas bwahahaha,negatif
91,ingat mas mentri aturan hati hati khawatir jk aturan bertentangan aturan alah mk menuai adzab didunia akhirat,netral
92,setuju giatan e esek maka tu kekerasan pemaksan seksual sih iya brenti situ tu ga tolak pzinan dipaksakan perzinan disetujui ga cegah zina ditentang,netral
93,dlm tujuan pencegahan definisi tg kekerasan seksual gak salah ayat tafsir gak tempatnya dlm permendikbud,netral
94,ambiguan seks bebas suka suka loh korbanya,netral
95,bagusnya perbaiki memang salah,netral
96,doa mu jahat rakyat indonesia,netral
97,umu nayla pasal membolehkan seks suka suka permebdikbud mengatur kekerasan seksual melegalkan perzinahan melindungi perempuan kejahatan seksual dosen guru ustadz senior dl lingkungan pendidikan pakai logika kebencian membuta mata,positif
98,gabriela indah charista mendukung aturan setan maka dalam doa umat islam,negatif
99,umu nayla wkwkw iya deh,netral
100,marak bikin urusan ditentang bngt coba diterapkan kena tangkap,netral
101,m indra menrisek bikin permen aneh mestinya bikin permen pendidikan nasional maju cerdas merata wilayah indonesia,negatif
102,dilegalkan permendikbudristek memang ranahnya menangani tindakan asusila kekerasan seksual asusila kan persetujuan belah peraturan menangani,positif
103,julidz peraturan saudara laki-laki setahu zina hukum indonesia salah pelakunya terikat perkawinan gak berlaku duanya single delik aduan proses pengaduan suami istri alias pasangan sah salah pelaku tertera pasal kuhp,netral
104,julidz rancangan kuhp perluasan aturan zina bentuk nya setahu kuhp pasal teman teman sekulib protes cepat sahkan aturan permendikbud gak ribut kaum kons kaum islamis gak capek ribut melulu,positif
105,akhsan andi bang pasal perzinan terikat prostitusi berlapis perlindungan anak korbanya masi dibawah umur nasional single provinsi kota hukumanya denda penjara iya nanangin tindakan asusila zina nangin kekerasan seksual korban dalam paksan mikir legalin zina konteksnya beda zina gabisa single agama larangan setau ngelarang zina peraturan agama islam maksudnya ketentuanya islam gatau agama ngelarang beda konsepnya,positif
106,akhsan andi iya nasional peraturan provinsi kota ambil contoh ditangsel kota ga salah kena denda juta ketahuan membuat asusila dikamar penjara berulang surat perjanjianya,netral
107,iya tergantung daerah nya mengatur tindakan asusila masalahnya kan gak daerah mengatur daerah mayoritas muslim setahu iya ralat salah permendikbud islamis setuju kekerasan seksual perbuatan benarkan maksud permendikbud melihat celah permendikbud manfatkan maf maf ayam kampus legal standing,positif
108,udahlah gak debatin gak ngubah posisi belah lihat twiter pengujian materi permendikbud ma iya lihat kedepanya,netral
109,p akai ondom s elalu,netral
110,ngak ditindak pemendikbud tindak kuhp pasal,positif
111,susi tri andarwati mekanisme hukum kan payung hukum gk sih menjerat pelaku tindakan asusila,netral
112,julidz sebutkan kuhp pasal,netral
113,susi tri andarwati itukan rancangan bu sah kan suruh teman teman ibu sekulib protes kuhp cepat sah kan muncul peraturan peraturan permendikbud gak memunculkan polemik kaum sekulib kaum islamis,positif
114,akhsan andi teman,netral
115,susi tri andarwati ibu gak teman teman sekulib bagus bu rkuhp jalan tekanan,netral
116,akhsan andi sekulib kuhp mengajukan kan pemerintah pemerintah melindungi negaranya berbuat zina mendikbud mendukung pemerintah namanya pembantu presiden ga klausal mendikbud melegalkan zina,positif
117,susi tri andarwati namanya rkuhp sahkan gak mengikat komentar olah rkuhp pasal menjerat pelaku perzinahan terikat perkawinan single,netral
118,akhsan andi iya merubah kenyatan pemerintah mengajukan berusaha selesainya kuhpnya pemerintah berusaha melundungi negaranya berbuat zina kan trus hubunganya permendikbud dilegalkanya zina permendikbud zina dilarang melarang zina sat disahkan permendikbud,netral
119,susi tri andarwati sih mengikat salah pelakunya terikat perkawinan delik aduan proses pasangan sah salah pelaku ngadu,netral
120,susi tri andarwati iya pemerintah masalahnya tuh mangkrak alias sahkan payung hukum menindak pelaku perzinahan luas permendikbud benar gak zina seks bebas protes kaum islamis frasa persetujuan,netral
121,susi tri andarwati mungkin permendikbud revisi iya mungkin kaum islamis legowo permendikbud,negatif
122,akhsan andi halah ga solusiable spk agamais diem pas pelecehan dipesantren pendidikan keluarga kena mungkin nikahin pelaku pelecehan keluarga korban maklum pemikiran tertingal bin bobrok,netral
123,raja bla bla bla mucho texto nikmatin perseteruan wkwkwkwk,netral
124,akhsan andi menrisex berlebihan permen berlakunya dunia pendidikan,netral
125,ente bicara sih ente bikin pernyatan,netral
126,akhsan andi frasa persetujuan kan persetujuan pelecehan,positif
127,aduh males bahas komen balas,netral
128,hehehe terpenting setuju setuju,positif
129,prbuatan zinah kan deh aturany sndri kuhp hukum agama msing komen kyak bocah paud deh gede blon,netral
130,wongemblung seneng ye udeh bebas main kampus hemat saudara laki-laki ga hotel dilindungi negara bwahahahah,netral
131,rush day iya gni toge dksih otak main hp goblokny natural,netral
132,julian yaelah cuan tukang eceran kond m kampus gas stock banyakin ahahaha,netral
133,rush day trnyta drone kelas paud ngoceh,netral
134,setujuj pakek pakean pantai jos brow,positif
135,julian kadrun cerdas megunakan akal sehat gak permen nyuri kesempatan permen berani manusia bermoral berahlaq tat agama gak mungkin ayo ikuti perintah agama tingalkan larangan agama brow,netral
136,aturan alah dilangar pelaku kekerasan seksual melakukan kekerasan seksual aturan dibuat manusia,netral
137,senjatanya beda mas senjata digunakan memberantasnya kuhp bahas tindakan asusila,netral
138,nila setitik rusak susu sebelanga pasal direvisi liberal menghalalkan penzinahan,negatif
139,nadiem kurikulum pendidikanya ditambahi pelajaran seks bebas merayu pelacur hukum negara mjd korban diatur mengatur,netral
140,merasukimu,netral
141,menyimak,netral
142,direvisi gus dur repot,negatif
143,muhamadiyah ikadi mui prof h cholis nafis menolak suruh pergi permendikbudristek th nu suaranya iya diwakili prof h cholil nafis,negatif
144,pks poligami turun,netral
145,negara truskan anak hasil zina baguslah dimcok,netral
146,kalangan perguruan tingi gak nolak berzina peraturan menteri,positif
147,cecep bicaranya,netral
148,klu selangkangan pks cepat tangap,netral
149,pks kritik permen nya benar lanjutkan mas menteri,positif
150,ingat angota pks nonton porno sidang bwahaha pks membela kasus kekerasan perempun mpret urusin kader mu kampanye poligami ngak perempuan menerima poligami diskusikan cari sensasi jalankan unya cepat tindakanya jalan diamati direvisi kakehan ngoceh,negatif
151,legalkan zina v pen jepang v,netral
152,kasus aborsi efek hamil diluar nikah,netral
153,peraturan benar kekerasan seksual dilawan dibrantas,positif
154,tanda zaman naudzubilah,netral
155,inalilahi wa inalilahi roji un,netral
156,moga oengagas anak istrinya korban plaku zina sek bas amin,negatif
157,mas mah beda kasus beda senjata kekerasan seksual lingkungan kampus ditembak pakai permendikbudristek membicarakan tindakan seksual persetujuan belah kampus tindakan asusila pakek peraturan peraturan kampus peraturan melarang tindakan asusila kampus kode etik dosen pelaku dosen kuhp senjatanya disesuaikan memang permendikbudristek gk menindak pelaku asusila ranahnya mekanisme hukum patokanya sih nangkepnya perbincangan bahas diluar konteks,positif
158,jikalau korban ancam bicara dasar suka suka trus penjara korban keduanya,netral
159,diusulkan,netral
160,pks direvisi nungu korban bertambah selesai,netral
161,rifki fauzi iya kelaman giliran ngusulin dikritisi,netral
162,benar,netral
163,saudara laki-laki urusan ginian pks ga nyampe nalarnya tertawa oposisi payah lambat,netral
164,setuju wkwk,positif
165,indonesia maju kaya jepang ga an islamabad terbelakang,netral
166,riza kun kena azab,netral
167,xmbelgedesh mitos digaungkan kelompokmu pondasi khayalan benar teori buktinya perbandingan negara negara,netral
168,riza kun pahami pancasila buka blue silahkan pemimpinmu kawan nya mendahulukan materi drpd pondasi,netral
169,xmbelgedesh ga paham pancasila kadrun iya make argumen ketuhanan aturan hukum agama hukum praktis ideologi hukum syariat kaya arab pancasila kaya indonesia iya mengunakan pancasila maka bank konvensional ilegal qur an riba haram injil bilang ursury haram kan tetep ga ilegal ideologi demokrasi agama dosa urusan urusan negara meng ilegalkanya negara demokrasi syariat pancasila demokrasi syariat moga mengerti iya drun,netral
170,pasal menyebabkan aborsi permendikbud pencegahan penanganan kekerasan seksual digiring pelegalan zina,netral
171,zina dilegalkan tanda kiamat,netral
172,nti haml dluar nikah buru bilang nikah siri ikutan celeng pembenaran pembelan pkoknya ikuti fatwa partai lurus wakl ketua mui los krna mreka mrasa kuat bkuasa silahkan apadaya rakyt sbg rakyt hak bdoa bnar maka smoga anak cucu istri mreka pelaku korban sek bas hamil brulang dluar nikah ga jlas mnghamili istri mreka ga malu mlakukan sek bas dpan mreka skalipun nti mematuhi,netral
173,dewi sriyati ngedongeng sih bu kyknya gk paham bahas taunya teriak dukung teriakin gak paham substansi dibicarakan ckckck,netral
174,dewi sriyati kasian ibu kalah debat serang personal pahami ibu kemakan berita gorengan,netral
175,gak tu aborsi melarang rekomendasi dokter,positif
176,logika liar ga seks bebas iya ga moral nyalahin permen,netral
177,mendukung sepenuhnya syarat frasa persetujuan korban dihapus permendikbud bentrok peraturan undang asusila dinamakan korban si korban menyetujui si pelaku kekerasan seksual suka suka seks bebas dilegalkan permendikbud kontra asusila lainya disitulah permasalahanya,positif
178,keras lembut sah cegah ingat sila ketuhanan maha esa aturan agama utamakan,netral
179,dian chanel agama saudara laki-laki,netral
180,bukanya wafatnya nabi muhamad dikategorikan zaman nabi wafat hinga kedepan masuk zaman,positif
181,lho memangnya mendukung pelaku kekerasan seksual dinyatakan bersalah,positif
182,kalimat menunjukan zina dilegalkan permendikbud bu,netral
183,amin,positif
184,nyumpahin gini ngucap sih,netral
185,muhamad dzulfiqar ok mengangap permendikbudristek gak melegalkan zina permendikbud ditandatangani mendikbudristek maf seandainya mahasiswa mencium mahasiswi tertutup kampus mahasiswi setuju perbuatan ketahuan lainya perbuatan dalam pelangaran ditindak lanjuti permendikbudristek,netral
186,muhamad farhan peraturan pencegahan penanganan kekerasan seksual aturan tindakan asusila kampus berbeda persetujuan korban dihukum tindakan asusila dilarang persetujuan dihapus maka korban tindakan kekerasan seksual dihukum diamenyetujui tindakan maka perlindungan korban dihukum tindakan asusila dilarang maka korban kekerasan seksual terlibat dalam tindakan asusila menyetujui perbuatan korban pemaksan dihukum pelaku kekerasan seksual,negatif
187,asalamualaikum muhamad dzulfiqar iya permendikbudristek permen penanganan pencegahan seksual maf iya permendikbud frasa persetujuan korban dalam pasal maka mahasiswa mencium bibir mahasiswi pacarnya mengosokan kelaminya mahasiswi pacarnya tertutup kampus mahasiswi pacarnya setuju perbuatan ketahuan maka pelangaran gak ditindaklanjuti mahasiswi pacarnya setuju permendikbudristek berbeda mahasiswi pacarnya gak setuju maka pelangaran ditindak lanjuti permendikbudristek maf kejahatan kekerasan seksual akibat berawal perbuatan tindakan seksual bertentangan nilai norma nilai norma agama akar kekerasan kejahatan seksual terimakasih wasalamu alaikum,positif
188,muhamad farhan permnedikbudristek ulangi berfokus penanganan pencegahan kekerasan seksual berlatar belakang banyaknya kekerasan seksual penyelesaian keadilan korban kekerasan seksual kampus penyelesaina perlindungan korban permendikbudristek menyelesaikan kekerasan seksual kampus studi kasus kira kasus tindakan kekerasan seksual tindakan asusila membicarakan kekerasan korban korban dirugikan pelaku menyebabkan kerugian setuju tindakan korban pelaku tindakan asusila dikampus kode etik kampus terkait tindakan asusila kuhp perlindungan anak cerita permendikbudristek bertujuan mengatur tindakan asusila lingkungan kampus berbeda letaknya pelegalan zina aturan,positif
189,asalamualaikum muhamad dzulfiqar maf kuhp zina disahkan maf saudaraku seandainya mahasiswa mencium bibir mahasiswi pacarnya mengosokan kelaminya bagian tubuh mahasiswi pacarnya tertutup kampus mahasiswi pacarnya setuju ketahuan lainya pebuatan mahasiswa pelangaran ditindak lanjuti permendikbudristek maf saudaraku kuhp perzinahan disahkan,netral
190,muhamad farhan permendikbudristek mengatur penanganan pencegahan kekerasan seksual dikampus mengatur tindakan asusila dikampus lahir latar belakang diatas studi kasus jelaskan pandangan diatas mengatur tindakan asusila indonesia permendikbudristek pelegalan zina,positif
191,asalamualaikum muhamad dzulfiqar maf mahasiswa mencium bibir mahasiswi tertutup persetujuan terkait kampus perbuatan mahasiswa pelangaran ditindak lanjuti permendikbudristek maf iya bicara permendikbud peraturan lainya terimakasih wasalamu alaikum,netral
192,asalamualaikum kodil chanel maf mahasiswa mencium bibir mahasiswi tertutup persetujuan terkait kampus perbuatan mahasiswa pelangaran ditindak lanjuti permendikbudristek maf iya bicara permendikbud peraturan lainya terimakasih wasalamu alaikum,positif
193,muhamad farhan studi kasus jawab iya sebelumya terimakasih,positif
194,bingung paham syariat risikoberikhtilath,netral
195,mingu pas sholat jumat imam khotbahnya kaya tabayun baca benar baca kasus main klaim permendikbudristek melegalkan zina hadeh nyesel jumatan,negatif
196,mengmangtap kentu,netral
197,,netral
198,pola pemikiran sempit seks bebas budaya open bo kalangan mahasiswi tuh teman ane ayam kampus kampus uin paginya berkerudung malamnya buka warung,negatif
199,kekerasan seksual kan memang definisinya memang persetujuan korban sih logika nolak melawan kekerasan seksual didefinisikan kekerasan seksual,positif
200,mendekati zina aturan pasal dl sat demokrasi tdak layak gunakan isi nya kepentingan petingi kemaslahatan masyarakatnya jadikan tameng oknum melakukan kekerasan seksual mengunakan media skrang bicara berbicara sembarangan,negatif
201,law is an art rinci mudah dibelokan,positif
202,tetapkan kekerasan seksualitas,netral
203,cocok diterapkan dikemendikbud dpr,netral
204,pakaian anak sekolah mahasiswa rok nya lutut ganti menteri nya mungkin membubarkan m i,negatif
205,korban ragu melapor usulan perlindungan hukum korban polemik pdhal tingal direvisi maf diusulkn partai gmn kbrnya,positif
206,presenter suka motong percakapan narasumber sadar,netral
207,ormas islam mendukung permedikbudristek kekerasan seksual menolak pasal ayat persetujuan korban permendikbud nadiem menghilangkan persetujuan korban,positif
208,negara kacau pejabatnya nyeleneh coba urus subtantif,negatif
209,menteri nadiem dipecat,negatif
210,ranah mendikbud iya kekerasan seksual iya ranah kementerian perempuan anak,positif
211,permendikbud benar revisi laksanakan,positif
212,berbicara ideologi sbg muslim fakta diterima bicara memojokan islam islam islam kotak amal menganjurkan bersedekah kbetulan mreka sesat adl saudara muslim mjd isue ksalahan mreka iya ksalahan pnegak hukum adl brsama dhadapi brsama caranya mnertibkan muslim pemahamanya sesat mulailah dr menyedikitkan mbahas surga sbg imbalan neraka sbg hukuman lbh dibahas adl mngenali tuhan konsekuensinya mnganut agama brarti mngabdi tuhan mpertahankan imej mngejar surga,positif
213,aduh peraturan kekerasan sexual peraturan penzinahan inikan berbeda persetujuan korban persetujuan yah kekerasan sexual,positif
214,kalimatx difahami persetujuan korban bikin undang bahasa indonesia benar kayakx namax korban iya setuju unsur persetujuan namax oknum korban namax kalimat nya seharusx direvisi ditambahkan dihilangkan kalimat perdebatan kalimat persetujuan persetujuan korban benar,negatif
215,degradasi moral,netral
216,zinah haram setuju lawan,positif
217,aneh negeriku,netral
218,coba deh setuju permen pasal si korban ancam bilang tindakan kekerasan seksual tsbt dasar suka suka trus pelaku ngak kenai permen kampus kenanya pasal tindak asusila trus kena sypa korban pelaku,positif
219,kan didefinisikan perbuatan dlm kekerasan seksual definisinya iya memang persetujuan korban logika wajar kalimat dicantumkan,positif
220,dmitri senang mesum marah permendikbud mencolek meraba raba sangsinya buka baju melangar moral kuhp,positif
221,muhamad thohir oke disini permendikbud bentrok pornografi lainya,netral
222,suka suka kan berseks bebas mematuhi permendikbud membolehkanya,positif
223,dmitri pasal bentrok coba sebutkan memeng mengerti mengikuti ulama kadron,positif
224,dmitri isi otak mesumnya ulama kadron dalam permendikbud,negatif
225,muhamad thohir contoh kuhpnya melakukan persetubuhan suami istrinya dipidana perzinan pidana penjara denda kategori i permendikbud l menyentuh mengusap meraba memegang memeluk mencium mengosokan bagian tubuhnya tubuh korban persetujuan korban m membuka pakaian korban persetujuan korban kuhp dinyatakan gamblang keambiguan multitafsir seks bebas dilarang permendikbud didapati melakukan seksual persetujuan korban mencium mengesekan kemaluan sah sah mengimplementasikan permendikbud bentrok kuhp disalahkan kuhp nya permendikbudnya ambigu direvisi,netral
