,Unnamed: 0,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final,sentiment
14,14,duh ini peraturan kekerasan sexual bukan peraturan penzinahan inikan  hal yg berbeda makanya ada kata tanpa persetujuan korban kl ada persetujuan yah bukan kekerasan sexual ,positif,"['duh', 'ini', 'peraturan', 'kekerasan', 'sexual', 'bukan', 'peraturan', 'penzinahan', 'inikan', 'hal', 'yg', 'berbeda', 'makanya', 'ada', 'kata', 'tanpa', 'persetujuan', 'korban', 'kl', 'ada', 'persetujuan', 'yah', 'bukan', 'kekerasan', 'sexual']","['duh', 'peraturan', 'kekerasan', 'sexual', 'peraturan', 'penzinahan', 'inikan', 'berbeda', 'persetujuan', 'korban', 'kl', 'persetujuan', 'kekerasan', 'sexual']","['duh', 'atur', 'keras', 'sexual', 'atur', 'penzinahan', 'ini', 'beda', 'tuju', 'korban', 'kl', 'tuju', 'keras', 'sexual']",duh atur keras sexual atur penzinahan ini beda tuju korban kl tuju keras sexual,1.0
15,15,kalimatx saja sdh bisa difahami tanpa persetujuan korban ini yg bikin undang blm bisa bahasa indonesia yg baik dan benar kayakx namax aja korban ya jls pastilah dia tidak setuju kalau ada unsur persetujuan itu namax oknum bukan korban lagi namax jdi kalimat nya seharusx direvisi baik itu ditambahkan atau dihilangkan sama sekali kalimat itu kalau mau tidak jdi perdebatan tambah lagi dengan kalimat baik dapat persetujuan ataupun tidak atas persetujuan korban itu baru benar,negatif,"['kalimatx', 'saja', 'sdh', 'bisa', 'difahami', 'tanpa', 'persetujuan', 'korban', 'ini', 'yg', 'bikin', 'undang', 'blm', 'bisa', 'bahasa', 'indonesia', 'yg', 'baik', 'dan', 'benar', 'kayakx', 'namax', 'aja', 'korban', 'ya', 'jls', 'pastilah', 'dia', 'tidak', 'setuju', 'kalau', 'ada', 'unsur', 'persetujuan', 'itu', 'namax', 'oknum', 'bukan', 'korban', 'lagi', 'namax', 'jdi', 'kalimat', 'nya', 'seharusx', 'direvisi', 'baik', 'itu', 'ditambahkan', 'atau', 'dihilangkan', 'sama', 'sekali', 'kalimat', 'itu', 'kalau', 'mau', 'tidak', 'jdi', 'perdebatan', 'tambah', 'lagi', 'dengan', 'kalimat', 'baik', 'dapat', 'persetujuan', 'ataupun', 'tidak', 'atas', 'persetujuan', 'korban', 'itu', 'baru', 'benar']","['kalimatx', 'difahami', 'persetujuan', 'korban', 'undang', 'blm', 'bahasa', 'indonesia', 'kayakx', 'namax', 'korban', 'jls', 'tidak', 'setuju', 'unsur', 'persetujuan', 'namax', 'oknum', 'korban', 'namax', 'jdi', 'kalimat', 'seharusx', 'direvisi', 'dihilangkan', 'kalimat', 'tidak', 'jdi', 'perdebatan', 'kalimat', 'persetujuan', 'tidak', 'persetujuan', 'korban']","['kalimatx', 'difahami', 'tuju', 'korban', 'undang', 'blm', 'bahasa', 'indonesia', 'kayakx', 'namax', 'korban', 'jls', 'tidak', 'tuju', 'unsur', 'tuju', 'namax', 'oknum', 'korban', 'namax', 'jdi', 'kalimat', 'seharusx', 'revisi', 'hilang', 'kalimat', 'tidak', 'jdi', 'debat', 'kalimat', 'tuju', 'tidak', 'tuju', 'korban']",kalimatx difahami tuju korban undang blm bahasa indonesia kayakx namax korban jls tidak tuju unsur tuju namax oknum korban namax jdi kalimat seharusx revisi hilang kalimat tidak jdi debat kalimat tuju tidak tuju korban,1.0
16,16,degradasi moral,netral,"['degradasi', 'moral']","['degradasi', 'moral']","['degradasi', 'moral']",degradasi moral,1.0
17,17,itu sama dg zinah haram kcuali ada setuju lawan,positif,"['itu', 'sama', 'dg', 'zinah', 'haram', 'kcuali', 'ada', 'setuju', 'lawan']","['zinah', 'haram', 'kcuali', 'setuju', 'lawan']","['zinah', 'haram', 'kcuali', 'tuju', 'lawan']",zinah haram kcuali tuju lawan,1.0
18,18,makin aneh saja negeriku sekarang ini,netral,"['makin', 'aneh', 'saja', 'negeriku', 'sekarang', 'ini']","['aneh', 'negeriku']","['aneh', 'negeri']",aneh negeri,1.0
19,19,coba deh buat yg setuju sama permen pasal  ini kalo si korban di ancam untuk bilang kalo tindakan kekerasan seksual tsbt atas dasar suka sama suka trus pelaku nggak kenai permen di kampus kenanya pasal tindak asusila trus yg kena sypa korban atau pelaku ,positif,"['coba', 'deh', 'buat', 'yg', 'setuju', 'sama', 'permen', 'pasal', 'ini', 'kalo', 'si', 'korban', 'di', 'ancam', 'untuk', 'bilang', 'kalo', 'tindakan', 'kekerasan', 'seksual', 'tsbt', 'atas', 'dasar', 'suka', 'sama', 'suka', 'trus', 'pelaku', 'nggak', 'kenai', 'permen', 'di', 'kampus', 'kenanya', 'pasal', 'tindak', 'asusila', 'trus', 'yg', 'kena', 'sypa', 'korban', 'atau', 'pelaku']","['coba', 'deh', 'setuju', 'permen', 'pasal', 'korban', 'ancam', 'tindakan', 'kekerasan', 'seksual', 'tsbt', 'dasar', 'suka', 'suka', 'trus', 'pelaku', 'nggak', 'kenai', 'permen', 'kampus', 'kenanya', 'pasal', 'tindak', 'asusila', 'trus', 'kena', 'sypa', 'korban', 'pelaku']","['coba', 'deh', 'tuju', 'permen', 'pasal', 'korban', 'ancam', 'tindak', 'keras', 'seksual', 'tsbt', 'dasar', 'suka', 'suka', 'trus', 'laku', 'nggak', 'kena', 'permen', 'kampus', 'kena', 'pasal', 'tindak', 'asusila', 'trus', 'kena', 'sypa', 'korban', 'laku']",coba deh tuju permen pasal korban ancam tindak keras seksual tsbt dasar suka suka trus laku nggak kena permen kampus kena pasal tindak asusila trus kena sypa korban laku,0.0
20,20,kan harus didefinisikan apa artinya perbuatan yg termasuk dlm kekerasan seksual dan definisinya ya memang tanpa persetujuan korban logika aja wajar kalimat itu harus dicantumkan ,positif,"['kan', 'harus', 'didefinisikan', 'apa', 'artinya', 'perbuatan', 'yg', 'termasuk', 'dlm', 'kekerasan', 'seksual', 'dan', 'definisinya', 'ya', 'memang', 'tanpa', 'persetujuan', 'korban', 'logika', 'aja', 'wajar', 'kalimat', 'itu', 'harus', 'dicantumkan']","['didefinisikan', 'perbuatan', 'dlm', 'kekerasan', 'seksual', 'definisinya', 'persetujuan', 'korban', 'logika', 'wajar', 'kalimat', 'dicantumkan']","['definisi', 'buat', 'dlm', 'keras', 'seksual', 'definisi', 'tuju', 'korban', 'logika', 'wajar', 'kalimat', 'cantum']",definisi buat dlm keras seksual definisi tuju korban logika wajar kalimat cantum,0.0
21,21, dmitrii yang senang mesum pasti marah dengan permendikbud karena mencolek dan meraba raba saja sudah ada sangsinya apalagi apalagi minta buka baju itu melanggar moral dan kuhp,positif,"['dmitrii', 'yang', 'senang', 'mesum', 'pasti', 'marah', 'dengan', 'permendikbud', 'karena', 'mencolek', 'dan', 'meraba', 'raba', 'saja', 'sudah', 'ada', 'sangsinya', 'apalagi', 'apalagi', 'minta', 'buka', 'baju', 'itu', 'melanggar', 'moral', 'dan', 'kuhp']","['dmitrii', 'senang', 'mesum', 'marah', 'permendikbud', 'mencolek', 'meraba', 'raba', 'sangsinya', 'buka', 'baju', 'melanggar', 'moral', 'kuhp']","['dmitrii', 'senang', 'mesum', 'marah', 'permendikbud', 'colek', 'raba', 'raba', 'sangsi', 'buka', 'baju', 'langgar', 'moral', 'kuhp']",dmitrii senang mesum marah permendikbud colek raba raba sangsi buka baju langgar moral kuhp,1.0
22,22, muhammad thohir oke sampai disini berarti permendikbud tersebut bentrok dengan uu tentang pornografi lainnya,netral,"['muhammad', 'thohir', 'oke', 'sampai', 'disini', 'berarti', 'permendikbud', 'tersebut', 'bentrok', 'dengan', 'uu', 'tentang', 'pornografi', 'lainnya']","['muhammad', 'thohir', 'oke', 'permendikbud', 'bentrok', 'uu', 'pornografi']","['muhammad', 'thohir', 'oke', 'permendikbud', 'bentrok', 'uu', 'pornografi']",muhammad thohir oke permendikbud bentrok uu pornografi,0.0
23,23,asal suka sama suka tidak masalah bukan saya kan berseks bebas hanya mematuhi permendikbud membolehkannya ,positif,"['asal', 'suka', 'sama', 'suka', 'tidak', 'masalah', 'bukan', 'saya', 'kan', 'berseks', 'bebas', 'hanya', 'mematuhi', 'permendikbud', 'membolehkannya']","['suka', 'suka', 'tidak', 'berseks', 'bebas', 'mematuhi', 'permendikbud', 'membolehkannya']","['suka', 'suka', 'tidak', 'seks', 'bebas', 'patuh', 'permendikbud', 'boleh']",suka suka tidak seks bebas patuh permendikbud boleh,1.0
24,24, dmitrii pasal mana yang bentrok coba sebutkan kalau kamu memeng ngerti jangan kamu hanya mengikuti ulama kadron,positif,"['dmitrii', 'pasal', 'mana', 'yang', 'bentrok', 'coba', 'sebutkan', 'kalau', 'kamu', 'memeng', 'ngerti', 'jangan', 'kamu', 'hanya', 'mengikuti', 'ulama', 'kadron']","['dmitrii', 'pasal', 'bentrok', 'coba', 'sebutkan', 'memeng', 'ngerti', 'jangan', 'mengikuti', 'ulama', 'kadron']","['dmitrii', 'pasal', 'bentrok', 'coba', 'sebut', 'memeng', 'ngerti', 'jangan', 'ikut', 'ulama', 'kadron']",dmitrii pasal bentrok coba sebut memeng ngerti jangan ikut ulama kadron,0.0
25,25, dmitrii itu isi otak mesumnya ulama kadron yang tidak ada di dalam permendikbud,negatif,"['dmitrii', 'itu', 'isi', 'otak', 'mesumnya', 'ulama', 'kadron', 'yang', 'tidak', 'ada', 'di', 'dalam', 'permendikbud']","['dmitrii', 'isi', 'otak', 'mesumnya', 'ulama', 'kadron', 'tidak', 'permendikbud']","['dmitrii', 'isi', 'otak', 'mesum', 'ulama', 'kadron', 'tidak', 'permendikbud']",dmitrii isi otak mesum ulama kadron tidak permendikbud,0.0
26,26, muhammad thohir ini contoh kuhpnya setiap orang yang melakukan persetubuhan dengan orang yang bukan suami atau istrinya dipidana karena perzinaan dengan pidana penjara paling lama  satu tahun atau denda kategori ii permendikbud  menyentuh mengusap meraba memegang memeluk mencium dan atau menggosokkan bagian tubuhnya pada tubuh korban tanpa persetujuan korban membuka pakaian korban tanpa persetujuan korban di kuhp sudah dinyatakan secara gamblang jelas dan tidak ada keambiguan atau multitafsir bahwa seks bebas dilarang sedangkan di permendikbud  didapati boleh melakukan kegiatan seksual atas persetujuan korban seperti mencium dan menggesekkan kemaluan jadi sah sah saja bukan kalau saya mengimplementasikan permendikbud  walaupun bentrok dengan kuhp jadi yg disalahkan kuhp nya atau permendikbudnya yg ambigu dan perlu direvisi itu ,netral,"['muhammad', 'thohir', 'ini', 'contoh', 'kuhpnya', 'setiap', 'orang', 'yang', 'melakukan', 'persetubuhan', 'dengan', 'orang', 'yang', 'bukan', 'suami', 'atau', 'istrinya', 'dipidana', 'karena', 'perzinaan', 'dengan', 'pidana', 'penjara', 'paling', 'lama', 'satu', 'tahun', 'atau', 'denda', 'kategori', 'ii', 'permendikbud', 'menyentuh', 'mengusap', 'meraba', 'memegang', 'memeluk', 'mencium', 'dan', 'atau', 'menggosokkan', 'bagian', 'tubuhnya', 'pada', 'tubuh', 'korban', 'tanpa', 'persetujuan', 'korban', 'membuka', 'pakaian', 'korban', 'tanpa', 'persetujuan', 'korban', 'di', 'kuhp', 'sudah', 'dinyatakan', 'secara', 'gamblang', 'jelas', 'dan', 'tidak', 'ada', 'keambiguan', 'atau', 'multitafsir', 'bahwa', 'seks', 'bebas', 'dilarang', 'sedangkan', 'di', 'permendikbud', 'didapati', 'boleh', 'melakukan', 'kegiatan', 'seksual', 'atas', 'persetujuan', 'korban', 'seperti', 'mencium', 'dan', 'menggesekkan', 'kemaluan', 'jadi', 'sah', 'sah', 'saja', 'bukan', 'kalau', 'saya', 'mengimplementasikan', 'permendikbud', 'walaupun', 'bentrok', 'dengan', 'kuhp', 'jadi', 'yg', 'disalahkan', 'kuhp', 'nya', 'atau', 'permendikbudnya', 'yg', 'ambigu', 'dan', 'perlu', 'direvisi', 'itu']","['muhammad', 'thohir', 'contoh', 'kuhpnya', 'orang', 'persetubuhan', 'orang', 'suami', 'istrinya', 'dipidana', 'perzinaan', 'pidana', 'penjara', 'denda', 'kategori', 'ii', 'permendikbud', 'menyentuh', 'mengusap', 'meraba', 'memegang', 'memeluk', 'mencium', 'menggosokkan', 'tubuhnya', 'tubuh', 'korban', 'persetujuan', 'korban', 'membuka', 'pakaian', 'korban', 'persetujuan', 'korban', 'kuhp', 'dinyatakan', 'gamblang', 'tidak', 'keambiguan', 'multitafsir', 'seks', 'bebas', 'dilarang', 'permendikbud', 'didapati', 'kegiatan', 'seksual', 'persetujuan', 'korban', 'mencium', 'menggesekkan', 'kemaluan', 'sah', 'sah', 'mengimplementasikan', 'permendikbud', 'bentrok', 'kuhp', 'disalahkan', 'kuhp', 'permendikbudnya', 'ambigu', 'direvisi']","['muhammad', 'thohir', 'contoh', 'kuhpnya', 'orang', 'tubuh', 'orang', 'suami', 'istri', 'pidana', 'zina', 'pidana', 'penjara', 'denda', 'kategori', 'ii', 'permendikbud', 'sentuh', 'usap', 'raba', 'pegang', 'peluk', 'cium', 'gosok', 'tubuh', 'tubuh', 'korban', 'tuju', 'korban', 'buka', 'pakai', 'korban', 'tuju', 'korban', 'kuhp', 'nyata', 'gamblang', 'tidak', 'ambigu', 'multitafsir', 'seks', 'bebas', 'larang', 'permendikbud', 'dapat', 'giat', 'seksual', 'tuju', 'korban', 'cium', 'gesek', 'malu', 'sah', 'sah', 'implementasi', 'permendikbud', 'bentrok', 'kuhp', 'salah', 'kuhp', 'permendikbudnya', 'ambigu', 'revisi']",muhammad thohir contoh kuhpnya orang tubuh orang suami istri pidana zina pidana penjara denda kategori ii permendikbud sentuh usap raba pegang peluk cium gosok tubuh tubuh korban tuju korban buka pakai korban tuju korban kuhp nyata gamblang tidak ambigu multitafsir seks bebas larang permendikbud dapat giat seksual tuju korban cium gesek malu sah sah implementasi permendikbud bentrok kuhp salah kuhp permendikbudnya ambigu revisi,0.0
