teks	label
menurut gue  amp  keluarga dgn kita ttp wisata itu justru ky recharge energi kita krn berbulan xc xb dirumah aja  sebelum ada pandemi keluarga gue emg yg ga pernah berseliweran kalo ga butuh xc xb bgt  ke mall jg jarang bgt krn tipe gue  amp  keluarga emg lbh suka main ke tempat terbuka	2
tp yg sebenernya adlh kita lg menikmati waktu yg masih kita punya  iya emg beresiko bgt keluar xc xb rumah saat pandemi  tp buat gue  amp  keluarga justru cukup aman krn tmpt wisata tuh bener xc xb sepi jd intensitas ketemu org banyak tuh minim bgt	1
imbas pandemi covid   begini kondisi wisata triple t selo boyolali	1
perjalanan wisata pertama sejak pandemi  berkunjung ke salah satu penggalan sejarah kota solo  sebuah harta karun di tengah kota  kisah dari mangkunegaran  xf xf x x xf xf xf xbb  xf xf x x xf xf xf xbb samsungmembers travelwithsamsungmembers  xf xf x xbgalaxy m withgalaxy	1
segera ditertibkan odong odong di jalan raya  karena mobil odong odong tsb aslinya untuk angkutan khusus di kawasan wisata  saat pandemi covid   tempat wisata sepi  mobil odong odong tsb banyak berkeliaran di jalan raya	1
wisata masalalu  tepatnya masa masa pandemi wkwkwkw yeaaa	1
revitalisasi wisata diberbagai daerah guna menjadikan potensi ekonomi baru  bumn harus memberikan kontribusi lebih besar agar	2
dijelaskan oleh mas mentrih  bumn siap memberikan kontribusi dlm menghidupkan kembali sektor pariwisata yg terpukul pand	2
pandemi bikin wisata hutan kota kaki gandul wonogiri bangkrut beritajogja jogja jogjaistimewa	1
pandemi covid  bikin wisata hutan kota kaki gandul wonogiri bangkrut	1
wisata pertama sejak pandemi  dolan pura mangkunegaran  memanfaatkan mode auto dan ultrawide di galaxy m   xf xf x xb samsung galaxy m g powered by snapdragon g  xf xf x xc lightroom shotonsnapdragon pakaisnapdragon	0
fungsi bumn sbg agent of development  memiliki peranan penting di dlm program pemulihan ekonomi nasional termasuk dlm memb	2
menteri bumn terus mendorong bumn bumn untuk lebih berperan lagi dalam membangkitkan kembali sektor pariwisata	1
pengen banget ke dieng  wae rebo  padar  sumba dan kei  banyak inginnya ya min hehehe  maklum lama gak pergi wisata setelah pandemi  reminbagigopay	2
pandemi berakhir ga bisa lg wisata corona   xf xf x x xf xf x x	1
fungsi bumn sbg agent of development  memiliki peranan penting di dlm program pemulihan ekonomi nasional termasuk dlm membangkitkan sektor pariwisata pasca pandemi dgn merevitalisasi objek xc xb wisata baru menggunakan aset xc xb bumn bangkitbersamaet	1
merta pudak wangi berbasis di tabanan  bali  pulau yang menjadi ikon wisata indonesia dan kini mulai bangkit dari hantaman pandemi covid  selama dua tahun terakhir  digitalbisa untukindonesialebihbaik digitaluntukkitasemua	1
merta pudak wangi berbasis di tabanan  bali  pulau yang menjadi ikon wisata indonesia dan kini mulai bangkit dari hantaman pandemi covid  selama dua tahun terakhir ini loh digitalbisa untukindonesialebihbaik digitaluntukkitasemua	1
sektor desa wisata masih menjadi andalan dalam mendorong kebangkitan ekonomi desa pasca pandemi  momen lebaran dan liburan telah berdampak pada lonjakan tajam kunjungan wisatawan ke desa desa  kemendespdtt sdgsdesa desabisa mulaidaridesa	2
fungsi bumn sbg agent of development  memiliki peranan penting di dalam program pemulihan ekonomi nasional termasuk dlm me	2
siapa nih yg menjadikan bali tujuan liburan bareng keluarga  xf xf xa xb senaaaang deh lihat pariwisata di bali kembali ramai  apalagi	2
menteri bumn terus mendorong bumn bumn untuk lebih berperan lagi dalam membangkitkan kembali sektor pariwisata yang sempat terpuruk karena pandemi  revitalisasi tempat wisata menjadi salah satu upaya yang dilakukan erick thohir  xf xf x xd bangkitbersamaet	1
ganjar sumbang perahu wisata untuk taman jogo kali bersama pak fx rudi  ganjar berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi ini   buah perahu wisata yang bisa menampung warga berjalan jalan dan mengitari sungai di solo	1
bersama pak fx rudi  berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi ini	1
bersama pak fx rudi  berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi ini   buah perahu wisata yang bisa menampung warga berjalan jalan dan mengitari sungai di solo  sahabatganjar ganjarpranowo ganjar	1
bersama pak fx rudi  ganjar berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi ini   buah perahu wisata yang bisa menampung warga berjalan jalan dan mengitari sungai di solo  sahabatganjar ganjarpranowo ganjar	1
festival musik terbesar di kalbar  bless this fest kembali digelar akhir pekan ini di kota pontianak  festival tersebut sempat tertunda karena pandemi covid   blessthisfest	1
dadi wong singosari pengen ngrasakno malem mingguan nang mbatu  kapok wes gak maneh maneh  xf xf xa xa xf xf xa xa  tapi seneng ndelok wisata mbatu urip maneh setelah pandemi  xf xf x xc	1
menteri sandiaga uno  realisasikan   juta lapangan kerja di tengah pandemi  kabupaten blitar  jawa timur anugerah desa wisata indonesia  adwi   kali ini menyambangi desa wisata semen sandiagauno adwi desawisatasemen	2
haedar nashir menyampaikan kunjungan menteri pariwisata dan ekonomi kreatif ri  sandiaga salahuddin uno dalam rangka pe	2
muhammadiyah  haedar nashir menyampaikan kunjungan menteri pariwisata dan ekonomi kreatif ri  sandiaga salahuddin uno dalam rangka pertama  membicarakan tentang pengembangan wisata dan kegiatan ekonomi yang menyangkut hajat hidup rakyat  muhammadiy	2
haedar nashir menyampaikan kunjungan menteri pariwisata dan ekonomi kreatif ri  sandiaga salahuddin uno dalam rangka pertama  membicarakan tentang pengembangan wisata dan kegiatan ekonomi yang menyangkut hajat hidup rakyat  muhammadiyah ekonomi	2
ekonomi kreatif merupakan sektor pendukung pariwisata yang keberadaannya tidak dapat dipisahkan satu sama lain   diharapkan para pelaku ekonomi kreatif di indonesia bisa berperan aktif dalam pengembangan pariwisata dalam rangka peningkatan perekonomian pasca pandemi covid	2
setelah dua tahun masa pandemi yang sulit  kini saatnya para pelaku sektor pariwisata bangkit kembali agar dapat menarik minat wisata masyarakat	2
sepinya pengunjung yang datang dimasa pandemi mengakibatkan tersendatnya pemeliharaan tempat wisata telaga biru  sehingga juga berdampak pada penurunan kualitas kebersihan  keindahan  kesehatan serta keamanan	1
pandemi covid  telah memberikan dampak yang cukup besar dalam merosotnya kedatangan pengunjung ke tempat wisata  termasuk salah satu tempat wisata di kec  cisoka  telaga biru cisoka	1
desa wisata harus terus bergerak bangkit pasca pandemi  kemendes pdtt pun terus mendorong desa desa wisata yang dikelola	1
kabar pandemi   video replay berwisata saat new normal  pandemi belum usai kabarpandemi wisa	1
nesi bahas wisata gajah yg terbengkalai  coba bahas junggleland duung  dia tutup jg pas pandemi kmaren  xf xf x x	1
selama pandemi covid   kawasan wisata monas ditutup	1
pegiat wisata kota semarang gelar afternoon tea  simak persiapan wisata pasca pandemi	2
promosikan arung jeramaceh tenggara tim  pemkab aceh tenggara berupaya mengangkat kembali sektor pariwisata yang sempat terpuruk akibat pandemi covid	1
pengurusan visa ke negara negara eropa membeludak pasca pelonggaran syarat perjalanan ke sana  untuk menarik kedatangan wisatawan  pengurusan visa pun dipermudah  seperti dilakukan ceko  ekonomi kompas	0
jangan lewatkan workshop harian kompas  kilas balik wisata jakarta   daftarkan diri anda untuk mengikuti workshop ini  info  dapatkan tiket gratis masuk pekan raya jakarta hingga voucer belanja senilai rp   di isiruma  info prj	1
sandiaga uno  saat pandemi  kunjungan ke desa wisata naik  persen	2
tingkat kunjungan wisatawan ke desa wisata saat ini naik  persen di saat pandemi  xc xa	2
sandi klaim kunjungan ke desa wisata naik   meski masih pandemi	1
ikuti workshop  kilas balik wisata jakarta  di pekan raya jakarta  turut hadir ira lathief  founder komunitas wisata kreatif jakarta   amp  diah kusumawardani  founder belantara budaya indonesia   pendaftaran  info	1
foto semenjak pandemi covid  banyak tren wisata baru bermunculan  salah satunya campervan  nah  seperti apa ya rasanya lib	1
pandemi selesai jadi bisa wisata kuliner malam lagi	1
siapa nih yg menjadikan bali tujuan liburan bareng keluarga  xf xf xa xb senaaaang deh lihat pariwisata di bali kembali ramai  apalagi setelah sekian lama pandemi xf xf x xad berikut beberapa tempat yang bisa parents jadikan referensi wisata yang ramah anak  hmm  ada yg sudah pernah berkunjung  xf xf x x	2
gawai dayak nyelepat taun telah selesai digelar  momen tersebut digelar sebagai ucapan rasa syukur kepada tuhan di tengah pandemi covid   gawaidayak	1
foto semenjak pandemi covid  banyak tren wisata baru bermunculan  salah satunya campervan  nah  seperti apa ya rasanya liburan dengan campervan	0
even wisata seru selama bulan juli  ajak kerabat  teman dan kolega mitra dishubmgt untuk berkunjung ke berbagai acara berikut ini  magetan tourism carfreeday pandemi event traveling	1
webinar xc xapkk mengusung tema  xe x xcpeluang industri wisata dan kreatif pasca pandemi  xe x xd	1
usaha akomodasi wisata di gianyar dapat insentif pajak bupati gianyar made agus mahayastra mengatakan  selama pandemi	0
sl pernah mengalami  booming  wisata periode tahun    id pun pernah mengalami hal serupa  tapi kemudian di hantam pandemi  bedanya id tidak gelap mata  tapi sl malah lupa diri  mari membandingkan langkah ekonomi id   sl sebagai perkiraan kondisi ke depan	1
usaha akomodasi wisata di gianyar dapat insentif pajak bupati gianyar made agus mahayastra mengatakan  selama pandemi banyak usaha tidak jalan hingga pembayaran gaji karyawan tersendat  kondisi itu mempengaruhi peningkatkan pad lantaran tidak adanya kesanggupan membayar pajak	2
webinar xc xapkk mengusung tema  xe x xcpeluang industri wisata dan kreatif pasca pandemi  xe x xd	1
dua tahun pandemi  pt sayaga wisata kehilangan pendapatan hingga puluhan miliar  bogor cibinong sayaga	1
amat sangat memungkinkan untuk adanya event  meski di  pilar krb menjelaskan perihal wisata itu ada kaitanya sama alam  tapi ada variable yg mencukupi  acaranya di alam  exsitu   inspiratif  membangun daya kreatif   dan menyegarkan  pasca pandemi yang menyebalkan	2
wakil presiden ma xe x xruf amin     mengatakan  desa menjadi salah satu titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid	1
tour de north sulawesi   potensi wisata di era pandemi	1
wakil presiden ma xe x xruf amin mrngatakan  desa menjadi salah satu titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid   karena itu  pemerintah terus mendorong pergerakan ekonomi desa	1
sapta pesona merupakan konsep sadar wisata dengan melibatkan masyarakat	2
desa wisata harus terus bergerak bangkit pasca pandemi  kemendes pdtt pun terus mendorong desa desa wisata yang dikelola badan	1
ketua umum tim penggerak pemberdayaan dan kesejahteraan keluarga  tp pkk  tri tito karnavian mengatakan pandemi covid  tidak hanya berdampak pada menurunnya kualitas kesehatan masyarakat	2
pandemi sudah hampir selesai  waktunya untuk liburan lagi  siapa yang suka ke bali  kali ini  generali merangkum  tujuan	1
partisipasi asita pada kegiatan table top bb session malaysia inbound tourism dan bimtek wisata ramah muslim dengan tema bangkitkan ekonomi dan buka peluang usaha pasca pandemi  yang diselenggarakan oleh dinas parekraf dki jakarta dan perkumpulan pariwisata halal indonesia  pphi	2
ma xe x xruf amin mengatakan  desa menjadi salah satu titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid   karen	1
tahun lumpuh karena pandemi  wisata bahari di karangasem mulai mengeliat   tribun bali	1
efek dari pandemi banyak tempat wisata yang muncul kembali dengan konsep yang baru  yaitu sustainable tourism  simak penjelasannya melalui artikel ini  merahputihcom pandemi wisata liburan	1
betul pak wapres  desa menjadi salah satu titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid   karena i	1
ketum tp pkk bicara peluang industri wisata  amp  ekraf usai pandemi	1
seiring dengan semakin membaiknya kondisi pandemi  sektor pariwisata pun perlahan bangkit  kalau sobat valid  ingin berwisata ke mana  wisata pariwisata liburan validnih validnews	2
kayaknya slain wisatawan lokal yg berganti gaya wisata  ini bule juga udah pd beda dgn sebelum pandemi       mari kita perhatikan ajalah	1
kok bisa sekelas menteri punya pemikiran kayak gini ya  apakah jadi pembenaran juga kalau harga komoditas barang retail termasuk jasa wisata naik karena kemarin merugi karena pandemi  tahun	1
betul pak wapres  desa menjadi salah satu titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid   karena itu  pemerintah terus mendorong pergerakan ekonomi desa  salah satunya melalui program pengembangan desa wisata	1
pandemi sudah hampir selesai  waktunya untuk liburan lagi  siapa yang suka ke bali  kali ini  generali merangkum  tujuan wisata yang sedang hits di bali  yang tentu super instagrammable dan gratis untuk dikunjungi	1
ma xe x xruf amin mengatakan  desa menjadi salah satu titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid   karena itu  pemerintah terus mendorong pergerakan ekonomi desa  salah satunya melalui program pengembangan desa wisata	1
seriously dapat tawaran iklan wisata ke wuhan  pusat asal pandemi covid  orang dengan akal sehat mana yang mau pelesiran ke pusat penyakit yang membunuh jutaan manusia	1
wapres mengatakan  desa menjadi salah satu titik pengungkit pemulihan ekonomi masyarakat pasca pandemi  pemerintah terus mendorong pergerakn ekonomi desa  salah satunya melalui program pengembangn desa wisata termasuk desa wisata halal	1
gaspol destinasi wisata wapres ma xe x xruf amin mrngatakan  desa menjadi salah satu titik pengungkit pemulihan ekonomi masyarakat pasca pandemi covid   karena itu  pemerintah terus mendorong pergerakan ekonomi desa  salah satunya melalui program pengembangan desa wisata	1
wisata masa lalu ternyata aku pernah sepede ituu chat xe x xd random tengah malam awal pandemi	2
monas kembali dibuka setelah sempat ditutup akibat pandemi corona  dibukanya kembali tempat wisata itu disambut gembira oleh masyarakat jakarta dan sekitarnya	2
sehat ekonomi menyembuhkan segala jurus pandemi masyarakat indonesia kebal virus  asalakan ekonomi berkeadilan  wujutkan pelabuhan singgahan pelni disetiap pelosok  amp  pulau xc xb  natuna jd sejarah ntah kpn pelni akan berlabuh kesana   majukan wisata di serata pulau xc xb indonesia raya	2
tips aman wisata di tengah pandemi corona jalanbareng	2
bersama pak fx rudi  ganjar berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi ini   buah perahu	1
pandemi covid  menyebabkan wisata kuliner garut sempat sepi	1
mantep bu  baru aja wisata penangkaran buka semenjak pandemi cov berkurang  sekarang tutup lagi gara gara pmk yang ga tau selesainya kapan	1
disampaikan mendes pdtt abdul halim iskandar saat menjadi keynote speaker dalam diskusi panel dengan tema  xe x xcpandemi global	2
bali menjadi destinasi wisata favorit wisatawan rusia  tercatat jumlah wisatawan yang datang mencapai   orang per tahun  sebelum pandemi	1
ke mana arah wisata kepri setelah luluh lantak dihantam pandemi covid     tribun batam	1
disampaikan mendes pdtt abdul halim iskandar saat menjadi keynote speaker dalam diskusi panel dengan tema  xe x xcpandemi global  pemberdayaan dan ketahanan desa wisata dan wisata perdesaan di hotel royal ambarukmo yogyakarta       lebih lengkap di	2
saya kerja di dunia wisata  telek hampir semua belagu mentang pakai seragam minta free  japrem dgn dalih ini itu  haram jaddah kasih duit nya juga  selama pandemi elu semua dpt gaji laah kita	1
sektor pariwisata mengalami pukulan keras akibat pandemi covid   seperti apakah statistik objek wisata  pengunjung  hingga tenaga kerja sektor ini pada   goodstats gnfi	1
bersama pak fx rudi ganjar berkomitmen menyelamatkan wisata air di solo yang sempat sepi krn pandemi ini   buah perahu wisata yg bisa menampung warga ber jalan dn mengitari sungai di solo sungguh inovasi yg luarbiasa dr ganjar agar warganya doyan piknik lagi  sahabatganjar	2
xe x xa xe x xa xe x xa berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi gubernur menyumbang  buah	1
xe x xa xe x xa xe x xa berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi gubernur menyumbang  buah perahu wisata untuk mengitari sungai ganjarkita	1
desa wisata brayut di sleman  yogyakarta  terus berupaya memulihkan diri setelah terkena dampak pandemi covid  dengan memperkenalkan daya tariknya  desawisatabrayut	1
harapan menteri bumn erick thohir ubah kota tua objek wisata lokal dan bermanfaat bagi warga  terutama bangkitkan perekonomia	2
ini jurus gubernur ansar geliatkan ekonomi dan wisata kepri pasca pandemi	1
harapan menteri bumn erick thohir ubah kota tua objek wisata lokal dan bermanfaat bagi warga  terutama bangkitkan perekonomian warga dan umkm lokal pasca pandemi covid   bangkitbersamaet	2
pkl nya di agen travel gt nder  bisa juga di destinasi wisata  tapi pas itu karna pandemi  jd aku pkl di event organizer  seru bangeeet xf xf xa xb	0
wisata semarang bangkit  pemkot lakukan persiapan pasca pandemi	1
jumlah wisatawan mancanegara  wisman  yang masuk ke sumatera utara  sumut  melonjak tajam sejak pandemi covid  dan perekonomian global mulai membaik jumlahwisatawanmancanegara	1
bersama pak fx rudi  ganjar berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi ini  sahabat	2
selain melandainya pandemi faktor lain yang menyebabkan kunjungan wisata meningkat adalah diadakannya event internasional di indonesia	1
bersama pak fx rudi  ganjar berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi ini   buah p	0
bersama pak fx rudi  ganjar berkomitmen menyelamatkan wisata air di solo yang sempat sepi karena pandemi ini  sahabatganjar ganjarpranowo ganjar	2
tempat wisata di bandung diminta patuhi prokes  antisipasi penyebaran covid di masa libur sekolah jokowi majukan nusantara	2
tempat wisata di bandung diminta patuhi prokes  antisipasi penyebaran covid di masa libur sekolah maju bersama ikn	2
maju bersama ikn	2
tempat wisata di bandung diminta patuhi prokes  antisipasi penyebaran covid di masa libur sekolah  maju bersama ikn	2
tempat wisata di bandung diminta patuhi prokes  antisipasi penyebaran covid di masa libur sekolah	2
tempat wisata di bandung dminta patuhi prokes  antisipasi penyebaran covid di masa libur sekolah maju bersama ikn	2
disparbud lamongan lakukan peremajaan fasilitas wisata  lamongan    xe x x dengan melandainya covid   dinas pariwisata dan kebudayaan  disparbud  lamongan kembali makamsunandrajatlamongan wisatalamongan wisatareligi gayahidup	0
innalillahi wainna ilaihi rojiun  turut berduka cita ya kak  aku baru tau banget kalau covid tuh masi meningkat karena beberapa tempat wisata ataupun sekolah udah full di buka	1
selama nataru  ketua dprd siak minta satgas penanganan covid  perketat prokes di objek wisata   go riau	1
tempat wisata di kota batu  amp  malang yang wajib kamu kunjungi setelah covid  membaik   xe xc xaa thread xe xc xa wisatamalang traveling	1
cfd perdana pasca covid  di jombang meriah  umkm diberdayakan   detikcom covid covid	2
cfd perdana pasca covid  di jombang meriah  umkm diberdayakan	2
pakailah masker di area wisata dan pertunjukan musik  kasus covid  di indonesia naik signifikan	0
pakailah masker di area wisata dan pertunjukan musik  kasus covid  di indonesia naik signifikan	0
karanganyar   sertu hermansyah beserta  anggota koramil  tasikmadu melaksanakan patroli ppkm protokol kesehatan bertempat di agro wisata sondokoro  tasikmadu dengan menghimbau pada pengunjung agar tetap mentaati prokes guna mencegah penularan covid  dengan menerapkan m	1
xe x xcselama pembicaraan  perhatian diberikan pada bidang kerja sama yang signifikan seperti pertukaran kemanusiaan  budaya  wisa	2
xe x xcselama pembicaraan  perhatian diberikan pada bidang kerja sama yang signifikan seperti pertukaran kemanusiaan  budaya  wisata  pendidikan  ini  antara lain  akan difasilitasi oleh pelonggaran pembatasan anti covid untuk perjalanan warga dan rezim bebas visa yang ada	0
bisa diatur    mobil itu g pernah jalan dari  tadinya buat wisata kepentok covid g pernah beroperesi dari barunya itu masi off the road om  masih dibungkus plastik jok nya juga karoseri adiputro	1
kasus covid  diperkirakan naik di juli  bagaimana nasib event wisata di diy  beritajogja jogja jogjaistimewa	2
karanganyar   sertu suparman beserta  anggota koramil  tasikmadu melaksanakan patroli ppkm di argo wisata sondokoro  tasikmadu dengan menghimbau pada pedagang dan pengunjung untuk selalu mematuhi dan mentaati protokol kesehatan guna mencegah penularan covid  dng cara m	1
ada beberapa mall  tempat makan  wisata yang mulai lengah dalam prokes covid   salah satunya tidak scan barcode aplikasi peduli lindungi  nahhh kalau sahabat kreatif apakah masih atau ikutan lengah juga nihhh  alasannya    segemen hotkepo proactivity	2
namun  terdapat beberapa perubahan aturan ppkm kota bandung seperti kapasitas event   konser  sektor komersil  tempat wisata dan jasa hiburan  dan lainnya  perwal humasbandung bandungjuara bandugsemakinjuara	2
karanganyar   anggota koramil  colomadu serda setyo nur melaksanakan patroli pendisiplinan protokol kesehatan  pada masa ppkm level  kepada pengunjung obyek wisata de tjolomadoe kecamatan colomadu  selasa	0
purwakarta carfreenight kuliner airmancursribaduga   untuk yang belum pernah ke wisata kuliner purwakarta dan berencan	1
purwakarta carfreenight kuliner airmancursribaduga   untuk yang belum pernah ke wisata kuliner purwakarta dan berencana nge wiskul di weekend ini  kayanya kudu rada reschedule nih pasalnya wiskulbakal ditutup sementara purwakarta ppkm level	1
patroli keamanan dan penegakan ppkm gabungan anggota koramil  klambu serma tomas dan anggota polsek klambu bripka sugeng w kepada masyarakat yang berkunjung di tempat wisata wilayah kec  klambu kab  grobogan	1
pemantauan pelaksanaan prokes ditengah aktifitas warga masyarakat di tempat wisata embung penganten desa wirun oleh sertu indri r babinsa koramil  mojolaban untuk memastikan warga masyarakat tetap waspada dan menjaga prokes dengan baik ditengah diberlakukannya ppkm level	2
pemantauan pelaksanaan prokes ditengah aktifitas warga masyarakat kec mojolaban di tempat wisata embung penganten oleh petugas dari koramil dan polsek polokarto untuk memastikan warga masyarakat tetap waspada dan menjaga prokes dengan baik ditengah diberlakukannya ppkm level	2
kakanwil a yuspahruddin kemenkumham jateng  kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian untuk mendukung pariwisata saat pandemi	2
kakanwil a yuspahruddin kemenkumham jateng  kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian untuk mendukung pariwisata saat pandemi	2
negara asean dorong pemulihan sektor pariwisata pasca pandemi	1
negara asean dorong pemulihan sektor pariwisata pasca pandemi	1
kominfo  negara anggota asean dorong pemulihan sektor pariwisata pascapandemi indonesia bersama negara anggota asean lain	1
conten creator  upaya dinas pariwisata kabupaten malang genjot pariwisata pasca pandemi	1
kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian untuk mendukung pariwisata saat pandemi	2
tri berharap  obras kain pkk dapat menjadi wadah silaturahmi  sarana diskusi  dan bertukar pikiran antara para kader pkk  terutama  dalam membangun industri pariwisata dan ekraf seiring pelandaian pandemi covid	2
setelah dua tahun pariwisata melandai akibat pandemi covid   pemerintah kota  pemkot  tangerang melalui dinas kebudayaan pariwisata dan pertamanan  disbudparman  gelar sosialisasi standarisasi jasa usaha pariwisata  di aula kecamatan tangerang  selasa	2
pelonggaran pembatasan sosial pandemi covid  membangkitkan hasrat warga bepergian  sekaligus harapan bagi pelaku usaha pariwisata  ekonomi kompas	2
semoga gubernur papua barat bisa mempromosikan pariwisata papua barat untuk memulihkan ekonomi pasca pandemi covid	1
dengan banyaknya pariwisata yg ada di papua barat  gubernur papua barat turun langsung menemui masyarakat terkait kendala apa aja yg ada semoga gubernur papua barat bisa mempromosikan pariwisata papua barat untuk memulihkan ekonomi pasca pandemi covid	2
covid  memporak porandakan ekonomi bali  sektor pariwisata yang menjadi tumpuan ekonomi bali anjlok  ini menjadi  benteng  bagi warga yang kehilangan pekerjaan akibat pandemi	1
kakanwil a yuspahruddin kemenkumham jateng  kantor imigrasi wonosobo sosialisasikan kemudahan keimigrasian untuk menduku	2
indonesia juga diwujudkan dlm etalase budaya di bandara  langkah ini dilakukan erick thohir sbg upaya membangkitkan kembali perekonomian masyarakat khususnya pegiat seni budaya yg terpuruk imbas pandemi covid    kemarin ketika saya melihat data lagi bahwa pariwisata	1
langkah ini dilakukan erick thohir sebagai upaya membangkitkan kembali perekonomian masyarakat khususnya pegiat seni budaya yang terpuruk imbas pandemi covid    kemarin ketika saya melihat data lagi bahwa pariwisata mulai bangkit di angka  persen	1
untuk menggiatkan kembali seni budaya dan pariwisata budaya paska pandemi menteri bumn erick thohir menjadikan bandara sebag	1
pt pertamina menggenjot bangkitnya pelaku usaha pariwisata kuliner usai tertekan pandemi covid   upayamemajukanumkmri dorongkemajuanekonomiri apel pagi sore karachi adani	2
video  eksklusif  kolaborasi kata ketum asita nunung rusmiati adalah kunci untuk majukan pariwisata kita pasca pandemi   foto savic rabos   di  raga	2
