,Komentar,Label,
42,ada untung besar di lobang hidung dan lobang pantat lumayan buat bayar hutang??,netral,
43,"Kasian sekali padahal keluarganya islami bgt, eh dia dicomot sama Jaringan islam liberal??????",negatif,
44,tapi kecebong tukang zina jadi bahagia ya bang kalo digerebek pas zina gabisa dijerat hukum??????,negatif,
45,Kadrun ituh yg suka pake koteka ya bro,netral,
46, @Myth Randir  zinahnya cebong dilindungi Negara,netral,
47,"klo ngotot lanjut bisa meledak populasi di indonesia nie. 
Bakalan banyak anak hasil hubungan diluar nikah.",negatif,
48,"Setiap orang beda pemahaman. Klu ada kata2 tanpa persetujuan, berarti klu setuju berarti boleh melakukan zina?",netral,
49," @DIAS Channel  kalau setuju dan melakukan zina sudah tidak memakai aturan Permendikbud No 30, bisa di alihkan ke Undang undang yang mengatur tentang zina.",netral,
50," @DIAS Channel  makanya dibaca baik-baik suupaya pemahamannya menyeluruh, gak setengah-setengah. Ingat konteksnya bro, muatan kata kekerasan itu mengandung persetujuan atau tidak, ini kan bukan undang-undang tentang zina. beuh!",positif,
51, @Purnomo  benar sekali.,netral,
52," @Purnomo  kalo gitu ntar jadinya malah pembenturan antar undang2 dong,gimana kalo si pelaku bersembunyi di kata ""tanpa persetujuan"" Di dalam permendikbud no.30?apa undang2 yg lain bakal bisa menjerat si pelaku?",negatif,
53," @Bayu Hasanudin  justru kalau ""tanpa persetujuan"" di jerat menggunakan permendikbud no.30",positif,
54," @Purnomo  mksd ane gini bro,kan di permendikbud no.30 itu semua tindakan bakal disebut sbg kekerasan seksual jikalau ""TANPA PERSETUJUAN KORBAN"",jadi kalo korbannya setuju,apa bakal disebut kekerasan seksual??kalo tidak,trus fungsi permen ini apa?iya ane tau permen ini fungsinya sbg benteng buat korban pelaku kekerasan seksual,tapi in other side menurut ane,permen ini scr gak langsung melegalkan seks bebas dengan adanya kata ""TANPA PERSETUJUAN KORBAN"" itu,ane gak bilang permen ini  buruk,tapi bagi ane permen ini kurang worth it dengan adanya kata ""TANPA PERSETUJUAN KORBAN,kalo permen ini di konfirmasi dan di patenkan dengan ada Kata "" TANPA PERSETUJUAN KORBAN"" Didalamnya,ane menolak keras sih",negatif,
55," @Bayu Hasanudin  pelecehan seksual itu bukan cuma dlm bentuk tindakan, banyak cara bentuk pelecehan seksual, bisa dgn verbal, penggunaan otoritas, memfoto/video, bahkan memandang dan bersiul aja bisa jadi pelecehan seksual.

Kalau tdk ada namanya kata ""tanpa persetujuan korban""..
Pelaku bisa berdalih hanya bersenggolan, hanya bergurau, hanya memfoto, hanya menjalankan tugas,.. 
Dan ga bisa dipidana,, 

Contoh
kalau ada org memfoto wanita, itu mana bisa disebut pelecehan kalau ada persetujuan wanitanya. 
Tapi kalau fotonya diambil tanpa persetujuan si wanita dan si wanita ga terima, 
Itu bisa jadi pelecehan seksual.

Yg menentukan mana pelecehan seksual itu bukan pks, bukan mui, bukan elu yg melihat, 
Tapi si korban yg merasakan.",positif,
56," @Purnomo  Ngga ada btw. Sejauh ini hukuman zina di KUHP itu cuma buat pasangan yang sudah menikah. Kalo belum menikah mah gaada aturannya di negara kita, lanjut terus asalkan suka sama suka mah...",negatif,
57," @kucingmasjid_ | ???  ya berarti nuntut nya ke yg buat KUHP,  bukan ke mendikbud.  Mendikbud hanya mengikuti aturan yg sudah ada",netral,
58,"kalo sama-sama mau, ya lanjut terus zina dimanapun dan kapanpun ya?????? Dosen bakalan enak punya banyak placur di kampus karena sama-sama mau????",negatif,
59,"lagi juga mana mau anak 20-an berzinah sama bapak dosen pembimbing usia 50-60 an
kebanyakan ga dikasih izin",netral,
60,Demi nilai bagus...terusin pak dosennnn????????gak apa apa......asal nilai bagus......akhirnya bercocok tanam kake sugiono merajalela....mengecrotttt crott crott,negatif,
61," @idham coy  lihatlah kelakuan kadrun, mereka sok paling beragama,
tapi lihat aja ni bentuknya macam begini.
Cara nya komen, caranya berpikir,  pasti ga jauh2 dari selangkangan. 
Begitu mungkin ajaran ulamanya.",negatif,
62, @Jhon Ghost  lah ngapah jd ke sosoh ya....??,netral,
63,"Syariat?  Dikit"" ngomong agama n syariat .
Poligami n 
Binik bnyak bolih  ???? 
 CMA dalih saja. Pembodohan saja
Puih......bulsit",netral,
64," @Wiji Asih  kenapa dgn poligami? Lu iri di agama lu gak bisa poligami, lagian poligami di islam gak bisa asal, ada syarat yg berlaku dan cukup susah. Jika gak bisa memenuhi syarat gak bakal bisa poligami",netral,
65," @muhammad widi sya' bani  
Hhhh aq Islam 
Aq Muslim 
Tpi jjik dengan Poligami !
Aq gk mcm elu yg doyan sekangkangan.
Yg doyan Poligami !
Kita siapa Poligami Susah? 
Ijab siri sdah sah.
Mau 3 /4 binik. BSA .",netral,
66,Udah biasa kadrun menolak Undang undang kekerasan seksual,negatif,
67, @Kelebihan Bayar  kadrun ituh yg suka pake koteka ya bro,netral,
68,Udah biasa kadrun menolak uu kekerasan sexual,negatif,
69, @Kelebihan Bayar  udh gajian blm bro,netral,
70, @KELUARGA BINTANG  Gajian? Hahaha faktanya begitu kok hahaha gak nangkep banget maknanya apa yang mau di sampaiin mas nadiem,netral,
71,BILA NADIM BERADAP AKAN MEREVISI,negatif,
72,Koment 1..,netral,
73,Udah biasa kadrun menolak undang undang kekerasan seksual,netral,
74, @Kelebihan Bayar  udh gajian?,netral,
75,"klo dia beradab mah dicabut, dia membuat sesuatu yg jelas hitam-putih menjadi abu-abu.",netral,
