,Komentar,Label
38,"Berarti norma/agama/aturan kampus & masyarakat blm kuat? Perlu dibuatkan peraturan berbeda dengan fokus Zina / seks di luar nikah?

(Terus peraturan Zina ini isinya apa? Hukuman, kriteria, definisi, dlsb)",netral
39,Fokusnya permennya aja tentang kekerasan seksual bukan zina secara umum.,positif
40,"Kadrun apaa??
Kadal gurun
Katak bhirun
Kamu Kuntrun

Kadrun kan ucapan yg suka dipakai orang yang mengaku sering dizolimi, padahal aslinya sering jilat ludah sendiri.. dan ucapan itu dulu pernah diucapkan para PKl",negatif
41,The ugly truth,negatif
42,Partai korupsi sapi berkedok holaqoh juz amma,netral
43,"Makanya belajar hukum om biar tau, baca produk hukum bukan seperti baca novel.",negatif
44,"kalo ada persetujuan, itu bukan kekerasan seksual, perbuatan seks diluar nikah itu BUKAN KEKERASAN SEKSUAL, tapi perbuatan yang melanggar norma agama, makanya kalo baca tuh yang bener.",positif
45,"Toh consent itu bukan hal baru di indonesia, mengambil barang orang tanpa izin (consent) bisa dikategorikan sebagai tindakan pencurian.",negatif
46,Waw,netral
47,Woahh parah anjir,netral
48,Parah bgt tu,netral
49,apakah sudah diberitahukan ke pihak sekolah atau kampus?,netral
50," @Aldo Binar  udh clear bro, dosennya udh di depak sm pihak kampus, yg penting ada bukti aja dari percakapan tsb.",positif
51,"Udh baca uu nya? Klo dihilangkan kata tanpa persetujuan maka bisa dikategorikan pelecehan seksual setelah ada kontak fisik, tp klo ada kata tanpa persetujuan maka ketika pelaku baru menawarkan transaksi seks, misal lu ditawarin dosen nilai A tp minta lu foto telanjang, baru verbal lu udh bisa jd kan alat lapor, karena transaksi yg dilakukan tanpa persetujuan lu, gw lihat lu make foto ginian pasti kemampuan pemahaman seharusnya udh diatas rata2 dong",netral
52," @Alluxes S  ohh,, jadi sebelum ada permen ini kalo dosen nawarin seks aman ya bro?? gak bisa dijadiin alat bukti??",netral
53," @awi asnawi  gak bisa selama belum ada kontak fisik, teman gw dlu korban 2, kita mau laporin pun apa yg bisa dilakukan dan dasar apa, Makanya dalam permendikbud bahkan catt calling aja bisa dianggap pelecehan,",positif
54," @Alluxes S  mereka kurang literasi, tapi pas diedukasi malah nyerang balik.",negatif
55," @Aufa Billah  selain kurang literasi mereka ini juga tipe org yg mikirnya ngeres mulu bro, jd susah memproses positif informasi yg berkaitan dengan seksual,",negatif
56," @Alluxes S  iya benar, apa-apa dikaitkan dengan pro zina. 1 pasal kok dibebankan untuk seluruh perbuatan asusila, ada-ada aja cara berfikirnya.",negatif
57,"Pelecehan verbal itu udh ada pasalnya
315 KUHP dan 289 - 296 KUHP
Itu udh pelecehan verbal tanpa ada sentuhan ato secara interface",negatif
