,Komentar,Label,TOKENIZATION,STOP_REMOVAL,STEMMER,Komentar_Final
13,berbicara ideologi boleh saja sbg muslim tp fakta ttp hrus diterima kalau bicara ini seolah memojokkan islam islam yg mana apakah hanya islam yg punya kotak amal dan menganjurkan bersedekah kbetulan saja mreka yg sesat adl saudara qt sesama muslim jika mjd isue besar krn ksalahan mreka ya bkn ksalahan pnegak hukum itu adl masalah brsama yg hrus dhadapi brsama bgmn caranya qt mnertibkan muslim dg pemahamanya agar tdk sesat mulailah dr menyedikitkan mmbahas surga sbg imbalan dan neraka sbg hukuman krn yg lbh harus dibahas adl cara mngenali tuhan dan konsekuensinya serta mnganut agama brarti mngabdi pd tuhan bkn mmpertahankan imej atau mngejar surga ,netral,"['berbicara', 'idiologi', 'boleh', 'saja', 'sbg', 'muslim', 'tp', 'fakta', 'ttp', 'hrus', 'diterima', 'klw', 'bicara', 'ini', 'seolah', 'memojokkan', 'islam', 'islam', 'yg', 'mana', 'apakah', 'cuma', 'islam', 'yg', 'punya', 'kotak', 'amal', 'dn', 'menganjurkan', 'bersedekah', 'kbetulan', 'saja', 'mreka', 'yg', 'sesat', 'adl', 'saudara', 'qt', 'sesama', 'muslim', 'jika', 'mjd', 'isue', 'besar', 'krn', 'ksalahan', 'mreka', 'ya', 'bkn', 'ksalahan', 'pnegak', 'hukum', 'itu', 'adl', 'masalh', 'brsama', 'yg', 'hrus', 'dhadapi', 'brsama', 'bgmn', 'caranya', 'qt', 'mnertibkan', 'muslim', 'dg', 'pemahamanya', 'agar', 'tdk', 'sesat', 'mulailah', 'dr', 'menyedikitkan', 'mmbahas', 'syurga', 'sbg', 'imbalan', 'dn', 'neraka', 'sbg', 'hukuman', 'krn', 'yg', 'lbh', 'hrs', 'dibahas', 'adl', 'cara', 'mngenali', 'tuhan', 'dn', 'konsekuensinya', 'serta', 'mnganut', 'agama', 'brarti', 'mngabdi', 'pd', 'tuhan', 'bkn', 'mmpertahankan', 'imej', 'atau', 'mngejar', 'syurga']","['berbicara', 'idiologi', 'sbg', 'muslim', 'tp', 'fakta', 'ttp', 'hrus', 'diterima', 'klw', 'bicara', 'memojokkan', 'islam', 'islam', 'islam', 'kotak', 'amal', 'dn', 'menganjurkan', 'bersedekah', 'kbetulan', 'mreka', 'sesat', 'adl', 'saudara', 'qt', 'muslim', 'mjd', 'isue', 'ksalahan', 'mreka', 'bkn', 'ksalahan', 'pnegak', 'hukum', 'adl', 'masalh', 'brsama', 'hrus', 'dhadapi', 'brsama', 'bgmn', 'qt', 'mnertibkan', 'muslim', 'pemahamanya', 'tdk', 'sesat', 'dr', 'menyedikitkan', 'mmbahas', 'syurga', 'sbg', 'imbalan', 'dn', 'neraka', 'sbg', 'hukuman', 'lbh', 'hrs', 'dibahas', 'adl', 'mngenali', 'tuhan', 'dn', 'konsekuensinya', 'mnganut', 'agama', 'brarti', 'mngabdi', 'pd', 'tuhan', 'bkn', 'mmpertahankan', 'imej', 'mngejar', 'syurga']","['bicara', 'idiologi', 'sbg', 'muslim', 'tp', 'fakta', 'ttp', 'hrus', 'terima', 'klw', 'bicara', 'pojok', 'islam', 'islam', 'islam', 'kotak', 'amal', 'dn', 'anjur', 'sedekah', 'kbetulan', 'mreka', 'sesat', 'adl', 'saudara', 'qt', 'muslim', 'mjd', 'isue', 'ksalahan', 'mreka', 'bkn', 'ksalahan', 'pnegak', 'hukum', 'adl', 'masalh', 'brsama', 'hrus', 'dhadapi', 'brsama', 'bgmn', 'qt', 'mnertibkan', 'muslim', 'pemahamanya', 'tdk', 'sesat', 'dr', 'sedikit', 'mmbahas', 'syurga', 'sbg', 'imbal', 'dn', 'neraka', 'sbg', 'hukum', 'lbh', 'hrs', 'bahas', 'adl', 'mngenali', 'tuhan', 'dn', 'konsekuensi', 'mnganut', 'agama', 'brarti', 'mngabdi', 'pd', 'tuhan', 'bkn', 'mmpertahankan', 'imej', 'mngejar', 'syurga']",bicara idiologi sbg muslim tp fakta ttp hrus terima klw bicara pojok islam islam islam kotak amal dn anjur sedekah kbetulan mreka sesat adl saudara qt muslim mjd isue ksalahan mreka bkn ksalahan pnegak hukum adl masalh brsama hrus dhadapi brsama bgmn qt mnertibkan muslim pemahamanya tdk sesat dr sedikit mmbahas syurga sbg imbal dn neraka sbg hukum lbh hrs bahas adl mngenali tuhan dn konsekuensi mnganut agama brarti mngabdi pd tuhan bkn mmpertahankan imej mngejar syurga
14,duh ini peraturan kekerasan sexual bukan peraturan penzinahan inikan  hal yg berbeda makanya ada kata tanpa persetujuan korban kl ada persetujuan yah bukan kekerasan sexual ,positif,"['duh', 'ini', 'peraturan', 'kekerasan', 'sexual', 'bukan', 'peraturan', 'penzinahan', 'inikan', 'hal', 'yg', 'berbeda', 'makanya', 'ada', 'kata', 'tanpa', 'persetujuan', 'korban', 'kl', 'ada', 'persetujuan', 'yah', 'bukan', 'kekerasan', 'sexual']","['duh', 'peraturan', 'kekerasan', 'sexual', 'peraturan', 'penzinahan', 'inikan', 'berbeda', 'persetujuan', 'korban', 'kl', 'persetujuan', 'kekerasan', 'sexual']","['duh', 'atur', 'keras', 'sexual', 'atur', 'penzinahan', 'ini', 'beda', 'tuju', 'korban', 'kl', 'tuju', 'keras', 'sexual']",duh atur keras sexual atur penzinahan ini beda tuju korban kl tuju keras sexual
15,kalimatx saja sdh bisa difahami tanpa persetujuan korban ini yg bikin undang blm bisa bahasa indonesia yg baik dan benar kayakx namax aja korban ya jls pastilah dia tidak setuju kalau ada unsur persetujuan itu namax oknum bukan korban lagi namax jdi kalimat nya seharusx direvisi baik itu ditambahkan atau dihilangkan sama sekali kalimat itu kalau mau tidak jdi perdebatan tambah lagi dengan kalimat baik dapat persetujuan ataupun tidak atas persetujuan korban itu baru benar,negatif,"['kalimatx', 'saja', 'sdh', 'bsa', 'difahami', 'tanpa', 'persetujuan', 'korban', 'ini', 'yg', 'bikin', 'undang', 'blm', 'bsa', 'bahasa', 'indonesia', 'yg', 'bae', 'dn', 'bnr', 'kayakx', 'namax', 'aja', 'korban', 'ya', 'jls', 'pastilah', 'dia', 'ndak', 'setuju', 'klw', 'ada', 'unsur', 'persetujuan', 'itu', 'namax', 'oknum', 'bukan', 'korban', 'gy', 'namax', 'jdi', 'kalimat', 'nya', 'seharusx', 'direvisi', 'bae', 'itu', 'ditambahkan', 'atau', 'dihilangkan', 'sama', 'sekali', 'kalimat', 'itu', 'klw', 'mau', 'ndak', 'jdi', 'perdebatan', 'tambah', 'gy', 'dgn', 'kalimat', 'bae', 'dpt', 'persetujuan', 'atau pun', 'ndak', 'atas', 'persetujuan', 'korban', 'itu', 'baru', 'bnr']","['kalimatx', 'bsa', 'difahami', 'persetujuan', 'korban', 'undang', 'blm', 'bsa', 'bahasa', 'indonesia', 'bae', 'dn', 'bnr', 'kayakx', 'namax', 'korban', 'jls', 'ndak', 'setuju', 'klw', 'unsur', 'persetujuan', 'namax', 'oknum', 'korban', 'namax', 'jdi', 'kalimat', 'seharusx', 'direvisi', 'bae', 'dihilangkan', 'kalimat', 'klw', 'ndak', 'jdi', 'perdebatan', 'kalimat', 'bae', 'dpt', 'persetujuan', 'atau pun', 'ndak', 'persetujuan', 'korban', 'bnr']","['kalimatx', 'bsa', 'difahami', 'tuju', 'korban', 'undang', 'blm', 'bsa', 'bahasa', 'indonesia', 'bae', 'dn', 'bnr', 'kayakx', 'namax', 'korban', 'jls', 'ndak', 'tuju', 'klw', 'unsur', 'tuju', 'namax', 'oknum', 'korban', 'namax', 'jdi', 'kalimat', 'seharusx', 'revisi', 'bae', 'hilang', 'kalimat', 'klw', 'ndak', 'jdi', 'debat', 'kalimat', 'bae', 'dpt', 'tuju', 'atau pun', 'ndak', 'tuju', 'korban', 'bnr']",kalimatx bsa difahami tuju korban undang blm bsa bahasa indonesia bae dn bnr kayakx namax korban jls ndak tuju klw unsur tuju namax oknum korban namax jdi kalimat seharusx revisi bae hilang kalimat klw ndak jdi debat kalimat bae dpt tuju atau pun ndak tuju korban bnr
16,itu sama dg zinah haram kcuali ada setuju lawan,netral,"['itu', 'sama', 'dg', 'zinah', 'haram', 'kcuali', 'ada', 'setuju', 'lawan']","['zinah', 'haram', 'kcuali', 'setuju', 'lawan']","['zinah', 'haram', 'kcuali', 'tuju', 'lawan']",zinah haram kcuali tuju lawan
17,makin aneh saja negeriku sekarang ini,netral,"['makin', 'anehny', 'saja', 'negeriku', 'sekarang', 'ini']","['anehny', 'negeriku']","['anehny', 'negeri']",anehny negeri
18,coba deh buat yg setuju sama permen pasal  ini kalo si korban di ancam untuk bilang kalo tindakan kekerasan seksual tsbt atas dasar suka sama suka trus pelaku nggak kenai permen di kampus kenanya pasal tindak asusila trus yg kena sypa korban atau pelaku ,netral,"['coba', 'deh', 'buat', 'yg', 'setuju', 'sama', 'permen', 'pasal', 'ini', 'kalo', 'si', 'korban', 'di', 'ancam', 'untk', 'bilang', 'kalo', 'tindakan', 'kekerasan', 'seksual', 'tsbt', 'atas', 'dasar', 'suka', 'sama', 'suka', 'trus', 'pelaku', 'nggak', 'kenai', 'permen', 'di', 'kampus', 'kenanya', 'pasal', 'tindak', 'a susila', 'trus', 'yg', 'kena', 'sypa', 'korban', 'atau', 'pelaku']","['coba', 'deh', 'setuju', 'permen', 'pasal', 'korban', 'ancam', 'untk', 'tindakan', 'kekerasan', 'seksual', 'tsbt', 'dasar', 'suka', 'suka', 'trus', 'pelaku', 'nggak', 'kenai', 'permen', 'kampus', 'kenanya', 'pasal', 'tindak', 'a susila', 'trus', 'kena', 'sypa', 'korban', 'pelaku']","['coba', 'deh', 'tuju', 'permen', 'pasal', 'korban', 'ancam', 'untk', 'tindak', 'keras', 'seksual', 'tsbt', 'dasar', 'suka', 'suka', 'trus', 'laku', 'nggak', 'kena', 'permen', 'kampus', 'kena', 'pasal', 'tindak', 'a susila', 'trus', 'kena', 'sypa', 'korban', 'laku']",coba deh tuju permen pasal korban ancam untk tindak keras seksual tsbt dasar suka suka trus laku nggak kena permen kampus kena pasal tindak a susila trus kena sypa korban laku
19,kan harus didefinisikan apa artinya perbuatan yg termasuk dlm kekerasan seksual dan definisinya ya memang tanpa persetujuan korban logika aja wajar kalimat itu harus dicantumkan ,positif,"['kan', 'hrs', 'didefinisikan', 'aoa', 'artinya', 'perbuatan', 'yg', 'termasuk', 'dlm', 'kekerasan', 'seksual', 'dn', 'definisinya', 'ya', 'memang', 'tanpa', 'persetujuan', 'korban', 'logika', 'aja', 'wajar', 'kalimat', 'itu', 'hrs', 'dicantumkan']","['hrs', 'didefinisikan', 'aoa', 'perbuatan', 'dlm', 'kekerasan', 'seksual', 'dn', 'definisinya', 'persetujuan', 'korban', 'logika', 'wajar', 'kalimat', 'hrs', 'dicantumkan']","['hrs', 'definisi', 'aoa', 'buat', 'dlm', 'keras', 'seksual', 'dn', 'definisi', 'tuju', 'korban', 'logika', 'wajar', 'kalimat', 'hrs', 'cantum']",hrs definisi aoa buat dlm keras seksual dn definisi tuju korban logika wajar kalimat hrs cantum
20, dmitrii yang senang mesum pasti marah dengan permendikbud karena mencolek dan meraba raba saja sudah ada sangsinya apalagi apalagi minta buka baju itu melanggar moral dan kuhp,positif,"['dmitrii', 'yg', 'senang', 'mesum', 'pasti', 'marah', 'dgn', 'permendikbud', 'krn', 'mencolek', 'dn', 'meraba', 'raba', 'saja', 'sdh', 'ada', 'sangsinya', 'apalagi', 'apalagi', 'minta', 'buka', 'baju', 'itu', 'melanggar', 'moril', 'dn', 'kuhp']","['dmitrii', 'senang', 'mesum', 'marah', 'permendikbud', 'mencolek', 'dn', 'meraba', 'raba', 'sangsinya', 'buka', 'baju', 'melanggar', 'moril', 'dn', 'kuhp']","['dmitrii', 'senang', 'mesum', 'marah', 'permendikbud', 'colek', 'dn', 'raba', 'raba', 'sangsi', 'buka', 'baju', 'langgar', 'moril', 'dn', 'kuhp']",dmitrii senang mesum marah permendikbud colek dn raba raba sangsi buka baju langgar moril dn kuhp
21, muhammad thohir oke sampai disini berarti permendikbud tersebut bentrok dengan uu tentang pornografi lainnya,netral,"['muhammad', 'thohir', 'oke', 'sampek', 'disini', 'berarti', 'permendikbud', 'tsb', 'bentrok', 'dgn', 'uu', 'tentang', 'pornografi', 'lainnya']","['muhammad', 'thohir', 'oke', 'sampek', 'permendikbud', 'tsb', 'bentrok', 'uu', 'pornografi']","['muhammad', 'thohir', 'oke', 'sampek', 'permendikbud', 'tsb', 'bentrok', 'uu', 'pornografi']",muhammad thohir oke sampek permendikbud tsb bentrok uu pornografi
22,asal suka sama suka tidak masalah bukan saya kan berseks bebas hanya mematuhi permendikbud membolehkannya ,positif,"['asal', 'suka', 'sama', 'suka', 'ndak', 'masalh', 'bukan', 'aq', 'kan', 'berseks', 'bebas', 'cuma', 'mematuhi', 'permendikbud', 'membolehkannya']","['suka', 'suka', 'ndak', 'masalh', 'aq', 'berseks', 'bebas', 'mematuhi', 'permendikbud', 'membolehkannya']","['suka', 'suka', 'ndak', 'masalh', 'aq', 'seks', 'bebas', 'patuh', 'permendikbud', 'boleh']",suka suka ndak masalh aq seks bebas patuh permendikbud boleh
23, dmitrii pasal mana yang bentrok coba sebutkan kalau kamu memeng ngerti jangan kamu hanya mengikuti ulama kadron,netral,"['dmitrii', 'pasal', 'mana', 'yg', 'bentrok', 'coba', 'sebutkan', 'klw', 'kamu', 'memeng', 'ngerti', 'jngan', 'kamu', 'cuma', 'mengikuti', 'ulama', 'kadron']","['dmitrii', 'pasal', 'bentrok', 'coba', 'sebutkan', 'klw', 'memeng', 'ngerti', 'jngan', 'mengikuti', 'ulama', 'kadron']","['dmitrii', 'pasal', 'bentrok', 'coba', 'sebut', 'klw', 'memeng', 'ngerti', 'jngan', 'ikut', 'ulama', 'kadron']",dmitrii pasal bentrok coba sebut klw memeng ngerti jngan ikut ulama kadron
24, dmitrii itu isi otak mesumnya ulama kadron yang tidak ada di dalam permendikbud,negatif,"['dmitrii', 'itu', 'isi', 'otak', 'mesumnya', 'ulama', 'kadron', 'yg', 'ndak', 'ada', 'di', 'dalem', 'permendikbud']","['dmitrii', 'isi', 'otak', 'mesumnya', 'ulama', 'kadron', 'ndak', 'dalem', 'permendikbud']","['dmitrii', 'isi', 'otak', 'mesum', 'ulama', 'kadron', 'ndak', 'dalem', 'permendikbud']",dmitrii isi otak mesum ulama kadron ndak dalem permendikbud
